"","genenames","logFC","logCPM","F","PValue","FDR"
"b3561","wecH",0.0320693367149905,9.21780069286704,0.112706853352284,0.739229161235966,"> 0.5"
"b3801","aslA",0.0594011557127503,4.50469994401082,0.112634400410719,0.739309804367548,"> 0.5"
"b4552","yrhC",0.0314651969502949,8.04648719824105,0.112622965437171,0.739322534611531,"> 0.5"
"b3289","rsmB",0.0808971256770334,3.40828050750966,0.112330249855047,0.739648652647861,"> 0.5"
"b1829","htpX",0.0347634576924249,8.35319621097336,0.112260893967812,0.739725992329371,"> 0.5"
"b1128","roxA",-0.0406406551347763,5.9392235215572,0.112146217861517,0.739853927668009,"> 0.5"
"b0492","ybbN",-0.055335216306311,5.64996667730547,0.112102134940068,0.739903127012982,"> 0.5"
"b3693","dgoK",-0.0303150566765368,8.37652113331002,0.11187905667271,0.740152262113108,"> 0.5"
"b3271","yhdZ",0.0499662412892717,5.07432106455996,0.111617308784805,0.740444937008798,"> 0.5"
"b2599","pheA",-0.049913415231829,4.73732206172743,0.111355281479383,0.740738307710359,"> 0.5"
"b4311","nanC",-0.0436018868847405,4.8598649654403,0.111332820657502,0.740763473160868,"> 0.5"
"b0980","appA",0.0351755904725192,5.55371605188889,0.111261205604345,0.740843730662306,"> 0.5"
"b3261","fis",0.0449121761295168,5.70926549464274,0.111253304957144,0.740852586515955,"> 0.5"
"b2135","yohC",0.0499387017300125,8.92098061441677,0.111213737815464,0.740896942688358,"> 0.5"
"b3475","acpT",-0.0403797437038034,5.34734149442081,0.111159744714492,0.740957485060453,"> 0.5"
"b4551","yheV",-0.0387006423980679,8.28537205985423,0.111054592826685,0.741075438729212,"> 0.5"
"b1305","pspB",0.0595003110562862,7.34032561625176,0.11099792926411,0.741139026628056,"> 0.5"
"b0323","yahI",-0.0532492173461011,7.94163173290883,0.110937999297264,0.741206299766108,"> 0.5"
"b2832","ygdQ",0.0447650450735701,6.87640211697451,0.11069121170519,0.741483539548654,"> 0.5"
"b0192","nlpE",-0.0483652652536455,7.49814667510041,0.110549944984762,0.741642392708558,"> 0.5"
"b2767","ygcO",0.0448493581111526,4.3881942230268,0.110536879771036,0.741657090132788,"> 0.5"
"b0384","psiF",0.0369373156958656,8.0668149205322,0.11044749231732,0.741757670533799,"> 0.5"
"b4348","hsdS",0.0522037847241278,5.77258914510942,0.110420550026215,0.741787995381269,"> 0.5"
"b3233","yhcB",0.0317156577804484,7.84261531617523,0.110415349315398,0.741793849506305,"> 0.5"
"b4341","yjiS",-0.0441563106677479,7.73579816910325,0.110412669038536,0.741796866591501,"> 0.5"
"b1131","purB",0.0506728903958111,5.82616665361449,0.110314118263176,0.741907829754974,"> 0.5"
"b4000","hupA",0.0870290747732655,8.02972255510819,0.109930229443628,0.742340595972106,"> 0.5"
"b1309","ycjM",-0.0434798870359301,7.4747721953776,0.109889855455213,0.742386159293982,"> 0.5"
"b1762","ynjI",0.0461839692276651,9.3181952699996,0.109778887248214,0.742511438426839,"> 0.5"
"b0155","clcA",0.0495283274626915,5.63336739796363,0.109767138639063,0.742524706310011,"> 0.5"
"b0597","entH",0.065883515366126,4.16534913722277,0.109514771392222,0.742809899461276,"> 0.5"
"b0163","yaeH",0.0632632101730052,7.06600168580386,0.109514331267375,0.742810397153204,"> 0.5"
"b3524","yhjG",0.0468576062553897,8.03249362561678,0.109388397446669,0.742952848488889,"> 0.5"
"b0214","rnhA",-0.0381575691793309,6.95969194119062,0.109279769792603,0.743075797065675,"> 0.5"
"b3367","nirC",-0.0891015287997618,5.06756352917685,0.108918447266353,0.743485244244967,"> 0.5"
"b3030","parE",-0.0499887040145297,5.82394537210132,0.108855987041046,0.743556100084781,"> 0.5"
"b1631","rsxG",0.0713360345182218,3.75495470572188,0.108652301502822,0.743787321240846,"> 0.5"
"b2430","yfeW",0.0387637683583238,6.10699080079274,0.108627420531918,0.743815582300647,"> 0.5"
"b0674","asnB",0.0346015338945689,7.19197216544913,0.108552817849683,0.743900341356375,"> 0.5"
"b4230","ytfT",0.0554958925643006,5.73140431258858,0.108444752204916,0.744023176436589,"> 0.5"
"b0999","cbpM",0.056108816303103,8.04979056140688,0.108117178920232,0.744395935594936,"> 0.5"
"b0610","rnk",0.0644183856730108,5.58368283304861,0.108093877881097,0.744422474698108,"> 0.5"
"b3330","gspI",0.050773632572529,5.52338958468409,0.10800798241569,0.744520334216626,"> 0.5"
"b0737","tolQ",-0.0741275738885428,3.69534599786705,0.107912205150548,0.744629502922354,"> 0.5"
"b2210","mqo",-0.0423746090276717,7.05696730091447,0.107566976940609,0.745023447651692,"> 0.5"
"b1217","chaB",-0.0587365738319128,9.67834834473325,0.107327469952337,0.745297165052692,"> 0.5"
"b4002","zraP",-0.0376559186659911,9.10525268183574,0.106954142599348,0.745724494308746,"> 0.5"
"b0291","ecpC",-0.05076968836483,5.72565557740681,0.106950739242099,0.745728393767214,"> 0.5"
"b3823","rhtC",-0.0472476768134262,5.18926987995691,0.106731790441774,0.745979403193162,"> 0.5"
"b2915","yqfE",0.0840895204977612,5.33997476831776,0.106485012294444,0.74626265971315,"> 0.5"
"b2445","yffN",-0.0561110261370031,3.78530432739528,0.106424241515757,0.746332469399939,"> 0.5"
"b1750","ydjX",-0.0398399941924255,9.61135010671094,0.106384110826748,0.746378581159008,"> 0.5"
"b2479","gcvR",-0.0408319555406328,5.32830941453272,0.106342609860617,0.74642627756963,"> 0.5"
"b3255","accB",0.0381734291118771,6.26017573975731,0.106066111138154,0.74674431704955,"> 0.5"
"b2047","wcaJ",-0.068426214047136,3.43161000519878,0.105895946753102,0.746940275248476,"> 0.5"
"b0566","envY",-0.057005207014281,9.05416590961984,0.105748575577016,0.747110126313387,"> 0.5"
"b1057","yceJ",-0.0625392350393586,3.94176478173068,0.105459178259461,0.747444050294795,"> 0.5"
"b3405","ompR",-0.0354973304458863,6.97137830589883,0.105335264466416,0.747587184727012,"> 0.5"
"b0660","ybeZ",0.0505202726097474,4.23026641010864,0.105315274557308,0.74761028406907,"> 0.5"
"b0773","ybhB",0.0510171900293559,6.87416512276522,0.105227390540077,0.747711867286028,"> 0.5"
"b0822","ybiV",-0.0499701504996772,5.18102630659146,0.105107724099451,0.747850262719413,"> 0.5"
"b1517","lsrF",0.034790386763778,7.87637523776921,0.105051209328807,0.747915652963037,"> 0.5"
"b2384","ypdE",-0.0337724427775985,8.40700906526541,0.104428690608504,0.748637229495769,"> 0.5"
"b1962","yedJ",0.0577832254613418,6.09515126458926,0.10436840503391,0.748707234323281,"> 0.5"
"b2959","yggL",0.0299580713101406,9.22149224633342,0.104220849487494,0.748878673310154,"> 0.5"
"b4200","rpsF",0.0753685113632344,5.99538043625877,0.104092532369533,0.749027869177869,"> 0.5"
"b2917","scpA",0.0591610125831928,9.46842557298462,0.103884507202893,0.749269958992251,"> 0.5"
"b2255","arnA",-0.0442295106413533,4.40380398986548,0.103509965463963,0.749706510086266,"> 0.5"
"b1921","fliZ",0.0341364415496796,7.2444460389142,0.103033484972928,0.750263141743832,"> 0.5"
"b1714","pheS",-0.0545235118220405,7.90344838526325,0.102992954174539,0.750310556064721,"> 0.5"
"b0978","cbdA",-0.0295710687064212,6.57186054775902,0.102886565329792,0.750435062493247,"> 0.5"
"b3624","waaZ",0.0728852686239515,8.64548952221998,0.102761456018096,0.750581568506734,"> 0.5"
"b2352","gtrS",-0.0602367830715825,6.36777756651581,0.102538943906849,0.750842379361942,"> 0.5"
"b0461","tomB",0.035521113850139,6.39387816387427,0.102398895957258,0.751006692762983,"> 0.5"
"b2521","sseA",0.0435399356383154,8.31656106676149,0.102223160008978,0.751213053435669,"> 0.5"
"b3710","mdtL",-0.0411198471874069,5.56366715713584,0.102177148190959,0.751267115903107,"> 0.5"
"b0345","lacI",-0.0615539683765881,3.90603454369671,0.102173161554969,0.751271800710605,"> 0.5"
"b2990","hybG",-0.0433245854677978,9.92539966840517,0.102137048424994,0.751314242861777,"> 0.5"
"b2344","fadL",-0.064250760734529,6.05656700137861,0.102119046117371,0.751335403267664,"> 0.5"
"b3649","rpoZ",0.0380481554609909,5.65943607856542,0.102003203033986,0.751471617727212,"> 0.5"
"b3001","gpr",-0.0417580467749883,8.4667034826139,0.101777354891937,0.751737427896482,"> 0.5"
"b1465","narV",0.0444327916143838,6.0890062840671,0.101639111316142,0.751900293329594,"> 0.5"
"b4201","priB",0.0587609593750746,4.53378871612048,0.101524755554437,0.752035108882504,"> 0.5"
"b0050","apaG",-0.0371807812716701,7.26816826396149,0.101395336306222,0.752187784163204,"> 0.5"
"b3140","agaD",0.0481317238212855,6.46657357531783,0.101234460753551,0.752377718363307,"> 0.5"
"b2524","iscX",0.0402703343370236,5.63266981705032,0.100971645832095,0.752688363804716,"> 0.5"
"b1730","ydjO",0.0347123649773815,10.2337017024383,0.10094530259995,0.75271952592001,"> 0.5"
"b2179","yejE",-0.0386107070418,5.38628842124266,0.100826356874432,0.752860285914532,"> 0.5"
"b3387","dam",-0.0490758913529014,5.96282994557293,0.10075388182129,0.752946097591667,"> 0.5"
"b0451","amtB",0.035177793314226,8.72911301922653,0.100737457211733,0.75296554933802,"> 0.5"
"b4143","groL",-0.0536411486189751,8.62076767159897,0.100613120890023,0.753112858254083,"> 0.5"
"b0571","cusR",-0.0300067714692238,8.34723631062407,0.100464945719728,0.753288541744966,"> 0.5"
"b3469","zntA",-0.0577997296203052,5.85431600445393,0.100328467488353,0.753450483287509,"> 0.5"
"b3222","nanK",0.0450895872769438,5.6637975981121,0.10016882161048,0.753640069223753,"> 0.5"
"b1337","abgB",0.0336654814505142,7.4410932889614,0.0998668352212705,0.753999146493702,"> 0.5"
"b3432","glgB",-0.0561056531037223,5.70199200087663,0.0997534160047385,0.754134162365277,"> 0.5"
"b4664","ibsD",0.0438566365731358,6.64293807962989,0.0997070841411668,0.754189340828744,"> 0.5"
"b3557","insJ",0.0452620876891267,6.50736310092015,0.099689402835865,0.754210401926112,"> 0.5"
"b1897","otsB",0.0431549978276847,9.11655886574839,0.0993571565971921,0.754606540704261,"> 0.5"
"b1494","pqqL",-0.0305245549632414,8.48694868154556,0.0993433825823533,0.754622979276139,"> 0.5"
"b4224","chpS",-0.0341032366607765,7.76857133797333,0.0991389073123125,0.754867157752505,"> 0.5"
"b3787","wecC",-0.0682843585900054,6.98170806848654,0.0989991693066188,0.755034188492865,"> 0.5"
"b0227","yafL",0.0399552594686081,4.42315102173647,0.0989009198577215,0.75515170516909,"> 0.5"
"b1844","exoX",0.063145178923452,4.70415295996985,0.098899565046066,0.755153326115725,"> 0.5"
"b3454","livF",-0.0378730584303856,5.57222665874708,0.0987499126537913,0.755332451104646,"> 0.5"
"b1848","yebG",0.0379564408862897,9.11862838166741,0.0986431672790632,0.755460310321481,"> 0.5"
"b3825","pldB",0.0572681199970154,4.14117351374964,0.0986408476612206,0.755463089596843,"> 0.5"
"b4542","yohO",-0.0478078984342605,7.08768235870616,0.0982672210416376,0.755911225035936,"> 0.5"
"b1113","ldtC",-0.042905646659052,6.2469340700844,0.0981873688944139,0.756007122944283,"> 0.5"
"b0491","fetB",-0.0589559557554717,4.30015886581516,0.0981769010219694,0.756019697448795,"> 0.5"
"b4024","lysC",-0.037122503010262,6.3608882883452,0.0981756363030053,0.756021216739124,"> 0.5"
"b0578","nfsB",-0.0409964529466538,8.07119809354315,0.0977906198209874,0.756484233799595,"> 0.5"
"b0951","pqiB",0.0479751389770305,6.1897487351785,0.0972004327599229,0.757195938388435,"> 0.5"
"b3500","gor",0.0651694762036127,3.64420317387629,0.0971714038457082,0.757231005508286,"> 0.5"
"b3753","rbsR",0.0414694906027943,5.2720426513669,0.0971423033128678,0.757266164926687,"> 0.5"
"b0826","moeB",-0.0715507494781587,3.36288798686185,0.0969047634113716,0.757553378740821,"> 0.5"
"b4484","cpxP",0.0429659952264356,6.16171840562376,0.0967384482556883,0.757754703873291,"> 0.5"
"b2770","ygcR",-0.0398740179397584,8.85191074364665,0.0967071221131291,0.757792645577965,"> 0.5"
"b3311","rpsQ",0.0552545721714269,7.8087616420432,0.0962436471375753,0.758354789971538,"> 0.5"
