"","annot_site_detected","alt_site_detected","alt_site_detected_meydan","annot_site_detected_meydan","riboseq_reads_detected"
"b0134_149601",TRUE,FALSE,FALSE,FALSE,TRUE
"b0135_150953",TRUE,FALSE,FALSE,FALSE,TRUE
"b0136_151599",FALSE,TRUE,FALSE,FALSE,TRUE
"b0137_152231",TRUE,FALSE,FALSE,FALSE,TRUE
"b0138_152812",TRUE,FALSE,FALSE,FALSE,TRUE
"b0139_155426",TRUE,FALSE,FALSE,FALSE,TRUE
"b0140_156201",TRUE,TRUE,FALSE,FALSE,TRUE
"b0141_156883",TRUE,FALSE,FALSE,FALSE,TRUE
"b0142_157732",FALSE,FALSE,FALSE,FALSE,TRUE
"b0143_159126",FALSE,FALSE,FALSE,FALSE,TRUE
"b0144_160112",FALSE,TRUE,FALSE,FALSE,TRUE
"b0145_160604",TRUE,FALSE,FALSE,FALSE,TRUE
"b0146_161486",TRUE,FALSE,FALSE,FALSE,TRUE
"b0147_162031",FALSE,FALSE,FALSE,FALSE,FALSE
"b0148_162105",FALSE,FALSE,FALSE,FALSE,TRUE
"b0149_164730",TRUE,TRUE,TRUE,TRUE,TRUE
"b0150_167484",TRUE,FALSE,FALSE,TRUE,TRUE
"b0151_169778",FALSE,FALSE,FALSE,FALSE,FALSE
"b0152_170575",FALSE,TRUE,FALSE,FALSE,TRUE
"b0153_171462",FALSE,TRUE,FALSE,FALSE,TRUE
"b0154_174882",TRUE,FALSE,FALSE,FALSE,TRUE
"b0155_175107",TRUE,FALSE,FALSE,FALSE,TRUE
"b0156_176610",TRUE,FALSE,FALSE,TRUE,TRUE
"b0157_177624",TRUE,FALSE,FALSE,FALSE,TRUE
"b0158_178462",FALSE,FALSE,FALSE,FALSE,TRUE
"b0159_179153",TRUE,FALSE,FALSE,FALSE,TRUE
"b0160_179237",TRUE,FALSE,FALSE,TRUE,TRUE
"b0161_180884",TRUE,FALSE,FALSE,TRUE,TRUE
"b0162_182463",FALSE,FALSE,FALSE,FALSE,TRUE
"b0163_184095",TRUE,FALSE,FALSE,FALSE,TRUE
"b0164_185069",FALSE,TRUE,FALSE,FALSE,TRUE
"b0166_185947",TRUE,FALSE,FALSE,FALSE,TRUE
"b0167_188650",TRUE,FALSE,FALSE,FALSE,TRUE
"b0168_189506",FALSE,TRUE,FALSE,FALSE,TRUE
"b0169_189874",TRUE,FALSE,FALSE,TRUE,TRUE
"b0170_190857",TRUE,FALSE,FALSE,TRUE,TRUE
"b0171_191855",TRUE,FALSE,FALSE,TRUE,TRUE
"b0172_192872",TRUE,TRUE,TRUE,TRUE,TRUE
"b0173_193521",TRUE,FALSE,FALSE,TRUE,TRUE
"b0174_194903",TRUE,FALSE,FALSE,TRUE,TRUE
"b0175_195677",FALSE,FALSE,FALSE,TRUE,TRUE
"b0176_196546",TRUE,FALSE,FALSE,TRUE,TRUE
"b0177_197928",TRUE,FALSE,FALSE,TRUE,TRUE
"b0178_200482",TRUE,TRUE,TRUE,TRUE,TRUE
"b0179_200971",FALSE,FALSE,FALSE,FALSE,FALSE
"b0180_202101",TRUE,FALSE,FALSE,TRUE,TRUE
"b0181_202560",TRUE,FALSE,FALSE,TRUE,TRUE
"b0182_203348",FALSE,FALSE,FALSE,FALSE,FALSE
"b0183_204493",TRUE,TRUE,FALSE,TRUE,TRUE
"b0184_205126",FALSE,FALSE,FALSE,FALSE,TRUE
"b0185_208621",TRUE,TRUE,FALSE,TRUE,TRUE
"b0186_209679",TRUE,FALSE,FALSE,TRUE,TRUE
"b0187_211877",TRUE,FALSE,FALSE,TRUE,TRUE
"b0188_212331",FALSE,FALSE,FALSE,FALSE,TRUE
"b0189_213932",TRUE,TRUE,FALSE,FALSE,TRUE
"b4406_214125",TRUE,TRUE,FALSE,FALSE,TRUE
"b0190_214291",FALSE,FALSE,FALSE,TRUE,TRUE
"b0191_214833",FALSE,FALSE,FALSE,FALSE,TRUE
"b0192_215269",TRUE,FALSE,FALSE,TRUE,TRUE
"b0193_217003",TRUE,FALSE,FALSE,FALSE,TRUE
"b0194_218775",TRUE,FALSE,FALSE,FALSE,TRUE
"b0195_219594",FALSE,FALSE,FALSE,FALSE,FALSE
"b0196_219995",TRUE,FALSE,FALSE,FALSE,TRUE
"b0197_220928",TRUE,FALSE,FALSE,FALSE,TRUE
"b0198_221621",TRUE,FALSE,FALSE,FALSE,TRUE
"b0199_222645",TRUE,FALSE,FALSE,FALSE,TRUE
"b0200_222833",TRUE,TRUE,FALSE,TRUE,TRUE
"b0207_229167",FALSE,FALSE,FALSE,FALSE,FALSE
"b0208_230881",TRUE,FALSE,FALSE,FALSE,TRUE
"b0209_231122",TRUE,FALSE,FALSE,TRUE,TRUE
"b0210_231926",FALSE,FALSE,FALSE,FALSE,FALSE
"b0211_233955",FALSE,FALSE,FALSE,FALSE,TRUE
"b0212_234782",TRUE,FALSE,FALSE,FALSE,TRUE
"b0213_234816",TRUE,FALSE,FALSE,FALSE,TRUE
"b0214_236002",TRUE,FALSE,FALSE,FALSE,TRUE
"b0215_236067",TRUE,FALSE,FALSE,FALSE,TRUE
"b0217_237335",FALSE,FALSE,FALSE,TRUE,FALSE
"b4586_238736",TRUE,FALSE,FALSE,FALSE,TRUE
"b0218_239102",FALSE,TRUE,FALSE,FALSE,TRUE
"b4503_239106",FALSE,FALSE,FALSE,FALSE,TRUE
"b0219_240189",FALSE,FALSE,FALSE,FALSE,TRUE
"b0220_240343",TRUE,TRUE,TRUE,FALSE,TRUE
"b0221_243303",TRUE,FALSE,FALSE,FALSE,TRUE
"b0222_243543",TRUE,FALSE,FALSE,TRUE,TRUE
"b0223_244327",TRUE,FALSE,FALSE,TRUE,TRUE
"b0224_245805",TRUE,FALSE,FALSE,FALSE,TRUE
"b0225_246239",TRUE,TRUE,FALSE,FALSE,TRUE
"b0226_246502",TRUE,FALSE,FALSE,FALSE,TRUE
"b0227_246712",FALSE,TRUE,FALSE,FALSE,TRUE
"b0228_247637",TRUE,TRUE,FALSE,FALSE,TRUE
"b0229_250070",FALSE,FALSE,FALSE,FALSE,FALSE
"b0230_250072",FALSE,FALSE,FALSE,FALSE,FALSE
"b0231_250898",TRUE,FALSE,FALSE,TRUE,TRUE
"b0232_252005",TRUE,TRUE,FALSE,FALSE,TRUE
"b0233_252301",TRUE,TRUE,FALSE,FALSE,TRUE
"b0234_252709",FALSE,FALSE,FALSE,FALSE,TRUE
"b0235_253479",TRUE,FALSE,FALSE,FALSE,TRUE
"b0236_253702",FALSE,FALSE,FALSE,FALSE,FALSE
"b0237_255716",FALSE,FALSE,FALSE,FALSE,TRUE
"b0238_255977",TRUE,FALSE,FALSE,TRUE,TRUE
"b0239_256527",FALSE,FALSE,FALSE,TRUE,TRUE
"b0240_257829",TRUE,FALSE,FALSE,TRUE,TRUE
"b0240_258676",FALSE,FALSE,FALSE,FALSE,TRUE
"b0241_260100",TRUE,FALSE,FALSE,FALSE,TRUE
"b0242_260388",TRUE,FALSE,FALSE,TRUE,TRUE
"b0243_261503",TRUE,FALSE,FALSE,TRUE,TRUE
"b4626_263212",TRUE,FALSE,FALSE,FALSE,TRUE
"b0245_263669",TRUE,FALSE,FALSE,FALSE,TRUE
"b0246_264007",TRUE,FALSE,FALSE,FALSE,TRUE
"b4504_264247",TRUE,TRUE,FALSE,FALSE,TRUE
"b0247_264732",TRUE,TRUE,FALSE,FALSE,TRUE
"b0248_265206",FALSE,FALSE,FALSE,FALSE,TRUE
"b0249_265543",FALSE,FALSE,FALSE,FALSE,TRUE
"b0250_266087",TRUE,FALSE,FALSE,FALSE,TRUE
"b0251_266553",FALSE,FALSE,FALSE,FALSE,TRUE
"b4627_266774",FALSE,FALSE,FALSE,FALSE,TRUE
"b4628_266967",TRUE,FALSE,FALSE,FALSE,TRUE
"b0252_268005",FALSE,FALSE,FALSE,FALSE,TRUE
"b0253_268960",TRUE,FALSE,FALSE,FALSE,TRUE
"b0254_270182",TRUE,FALSE,FALSE,FALSE,TRUE
"b4587_270278",TRUE,FALSE,FALSE,FALSE,TRUE
"b4587_271764",FALSE,FALSE,FALSE,FALSE,TRUE
"b0256_270603",FALSE,FALSE,FALSE,FALSE,FALSE
"b0258_272847",TRUE,FALSE,FALSE,TRUE,TRUE
"b0259_275117",FALSE,FALSE,FALSE,FALSE,FALSE
"b0260_275325",TRUE,FALSE,FALSE,FALSE,TRUE
"b0261_276715",TRUE,FALSE,FALSE,FALSE,TRUE
"b0262_278802",TRUE,FALSE,FALSE,FALSE,TRUE
"b0263_279161",FALSE,FALSE,FALSE,FALSE,FALSE
"b0264_279681",FALSE,FALSE,FALSE,FALSE,FALSE
"b0265_279875",FALSE,FALSE,FALSE,FALSE,FALSE
"b4708_279931",FALSE,TRUE,FALSE,FALSE,TRUE
"b4505_280362",TRUE,FALSE,FALSE,FALSE,TRUE
"b0266_280735",TRUE,TRUE,FALSE,FALSE,TRUE
"b0267_281983",FALSE,TRUE,FALSE,FALSE,TRUE
"b0268_282278",TRUE,FALSE,FALSE,FALSE,TRUE
"b0269_283201",FALSE,FALSE,FALSE,FALSE,TRUE
"b0270_285395",TRUE,FALSE,FALSE,FALSE,TRUE
"b0271_286789",TRUE,FALSE,FALSE,FALSE,TRUE
"b0272_289162",FALSE,FALSE,FALSE,FALSE,TRUE
"b0273_290305",TRUE,FALSE,FALSE,FALSE,TRUE
"b4688_290429",FALSE,TRUE,FALSE,FALSE,TRUE
"b0274_291152",FALSE,FALSE,FALSE,FALSE,FALSE
"b0275_291346",FALSE,FALSE,FALSE,FALSE,FALSE
"b0276_291404",FALSE,TRUE,FALSE,FALSE,TRUE
"b0277_292948",TRUE,FALSE,FALSE,FALSE,TRUE
"b0278_293918",TRUE,FALSE,FALSE,FALSE,TRUE
"b0279_294799",TRUE,FALSE,FALSE,FALSE,TRUE
"b0280_295579",TRUE,FALSE,FALSE,FALSE,TRUE
"b0281_297096",FALSE,TRUE,FALSE,FALSE,TRUE
"b4694_297719",FALSE,TRUE,FALSE,FALSE,TRUE
"b4695_297791",FALSE,FALSE,FALSE,FALSE,TRUE
"b0283_298726",TRUE,FALSE,FALSE,FALSE,TRUE
"b0284_300934",TRUE,TRUE,FALSE,FALSE,TRUE
"b0285_301887",TRUE,FALSE,FALSE,FALSE,TRUE
"b0286_302573",FALSE,FALSE,FALSE,FALSE,TRUE
"b0287_302991",TRUE,FALSE,FALSE,TRUE,TRUE
