"","MFE","peak_type","peak_type_2"
"316",-5.4,"annotated peak","annotated"
"317",-4.6,"annotated peak","annotated"
"318",-2,"annotated no peak","annotated"
"319",-7.4,"annotated peak","annotated"
"320",-3,"annotated peak","annotated"
"321",-14.9,"annotated no peak","annotated"
"322",-6.7,"annotated peak","annotated"
"323",-4.3,"annotated peak","annotated"
"324",-2.9,"annotated peak","annotated"
"325",-2.7,"annotated peak","annotated"
"326",-1.5,"annotated peak","annotated"
"327",-2.2,"annotated peak","annotated"
"328",-13.9,"annotated no peak","annotated"
"329",-2.8,"annotated peak","annotated"
"330",-1,"annotated peak","annotated"
"331",-6.7,"annotated no peak","annotated"
"332",-3.5,"annotated peak","annotated"
"333",-1.2,"annotated peak","annotated"
"334",-0.8,"annotated peak","annotated"
"335",-11.3,"annotated peak","annotated"
"336",-3.4,"annotated peak","annotated"
"337",-9.9,"annotated peak","annotated"
"338",-4.4,"annotated peak","annotated"
"339",-5.4,"annotated peak","annotated"
"340",-2.4,"annotated peak","annotated"
"341",-7.2,"annotated peak","annotated"
"342",-4.3,"annotated peak","annotated"
"343",-5.3,"annotated no peak","annotated"
"344",-1.2,"annotated peak","annotated"
"345",-5.2,"annotated peak","annotated"
"346",-5.7,"annotated peak","annotated"
"347",-5.8,"annotated peak","annotated"
"348",-9.8,"annotated no peak","annotated"
"349",-3.5,"annotated peak","annotated"
"350",-4.3,"annotated peak","annotated"
"351",-4.9,"annotated peak","annotated"
"352",-7.7,"annotated peak","annotated"
"353",-7.7,"annotated no peak","annotated"
"354",-4.5,"annotated peak","annotated"
"355",-10.7,"annotated no peak","annotated"
"356",-3.7,"annotated peak","annotated"
"357",-8.8,"annotated peak","annotated"
"358",-3.6,"annotated peak","annotated"
"359",-2.2,"annotated peak","annotated"
"360",-11.5,"annotated no peak","annotated"
"361",-8.7,"annotated no peak","annotated"
"362",-7.6,"annotated no peak","annotated"
"363",-1.8,"annotated peak","annotated"
"364",-3.1,"annotated peak","annotated"
"365",-4,"annotated peak","annotated"
"366",-14.4,"annotated no peak","annotated"
"367",-11.3,"annotated no peak","annotated"
"368",-5.8,"annotated no peak","annotated"
"369",-1.7,"annotated peak","annotated"
