"","MFE","peak_type","peak_type_2"
"9936",-4.3,"random sequence","random sequence"
"9937",-5.7,"random sequence","random sequence"
"9938",-8.7,"random sequence","random sequence"
"9939",-2.2,"random sequence","random sequence"
"9940",-6.7,"random sequence","random sequence"
"9941",-4.2,"random sequence","random sequence"
"9942",-6.3,"random sequence","random sequence"
"9943",-13.8,"random sequence","random sequence"
"9944",-8.7,"random sequence","random sequence"
"9945",-6.9,"random sequence","random sequence"
"9946",-17.4,"random sequence","random sequence"
"9947",-2.8,"random sequence","random sequence"
"9948",-1.5,"random sequence","random sequence"
"9949",-9.9,"random sequence","random sequence"
"9950",-4.6,"random sequence","random sequence"
"9951",-12,"random sequence","random sequence"
"9952",-6.4,"random sequence","random sequence"
"9953",-6.1,"random sequence","random sequence"
"9954",-10.1,"random sequence","random sequence"
"9955",-9,"random sequence","random sequence"
"9956",-16,"random sequence","random sequence"
"9957",-11.8,"random sequence","random sequence"
"9958",-5.9,"random sequence","random sequence"
"9959",-9.6,"random sequence","random sequence"
"9960",-11.3,"random sequence","random sequence"
"9961",-6.4,"random sequence","random sequence"
"9962",-7.1,"random sequence","random sequence"
"9963",-3.7,"random sequence","random sequence"
"9964",-13.8,"random sequence","random sequence"
"9965",-13,"random sequence","random sequence"
"9966",-12.2,"random sequence","random sequence"
"9967",-5.3,"random sequence","random sequence"
"9968",-3.8,"random sequence","random sequence"
"9969",-6.3,"random sequence","random sequence"
"9970",-7.2,"random sequence","random sequence"
"9971",-14.5,"random sequence","random sequence"
"9972",-11.9,"random sequence","random sequence"
"9973",-2.7,"random sequence","random sequence"
"9974",-1.6,"random sequence","random sequence"
"9975",-10.7,"random sequence","random sequence"
"9976",-9.3,"random sequence","random sequence"
"9977",-6.9,"random sequence","random sequence"
"9978",-12.6,"random sequence","random sequence"
"9979",-12.5,"random sequence","random sequence"
"9980",-0.4,"random sequence","random sequence"
"9981",-17.3,"random sequence","random sequence"
"9982",-3.5,"random sequence","random sequence"
"9983",-8.4,"random sequence","random sequence"
"9984",-11.8,"random sequence","random sequence"
"9985",-8.7,"random sequence","random sequence"
"9986",-5.5,"random sequence","random sequence"
"9987",-7.8,"random sequence","random sequence"
"9988",-5.1,"random sequence","random sequence"
"9989",-8.8,"random sequence","random sequence"
"9990",0,"random sequence","random sequence"
"9991",-12.9,"random sequence","random sequence"
"9992",-12.7,"random sequence","random sequence"
"9993",-7.3,"random sequence","random sequence"
"9994",-0.7,"random sequence","random sequence"
"9995",-9.2,"random sequence","random sequence"
"9996",-5.7,"random sequence","random sequence"
"9997",-8,"random sequence","random sequence"
"9998",-10.7,"random sequence","random sequence"
"9999",-5.5,"random sequence","random sequence"
"10000",-8.7,"random sequence","random sequence"
"10001",-7.9,"random sequence","random sequence"
"10002",-3.1,"random sequence","random sequence"
"10003",-15.3,"random sequence","random sequence"
"10004",-8.1,"random sequence","random sequence"
"10005",-6.3,"random sequence","random sequence"
"10006",-4.8,"random sequence","random sequence"
"10007",-6.3,"random sequence","random sequence"
"10008",-6.4,"random sequence","random sequence"
"10009",-7,"random sequence","random sequence"
"10010",-0.4,"random sequence","random sequence"
"10011",-8.2,"random sequence","random sequence"
"10012",-7.6,"random sequence","random sequence"
"10013",-10.2,"random sequence","random sequence"
"10014",-3.8,"random sequence","random sequence"
"10015",-13.2,"random sequence","random sequence"
"10016",-10.3,"random sequence","random sequence"
"10017",-6.8,"random sequence","random sequence"
"10018",-10.6,"random sequence","random sequence"
"10019",-12.1,"random sequence","random sequence"
"10020",-9.8,"random sequence","random sequence"
"10021",-0.3,"random sequence","random sequence"
"10022",-13,"random sequence","random sequence"
"10023",-6.9,"random sequence","random sequence"
"10024",-2.9,"random sequence","random sequence"
"10025",-5.1,"random sequence","random sequence"
"10026",-4.8,"random sequence","random sequence"
"10027",-5.8,"random sequence","random sequence"
"10028",-9.4,"random sequence","random sequence"
"10029",-13.2,"random sequence","random sequence"
"10030",-13,"random sequence","random sequence"
"10031",-12.1,"random sequence","random sequence"
"10032",-5.8,"random sequence","random sequence"
"10033",-9.3,"random sequence","random sequence"
"10034",-12.1,"random sequence","random sequence"
"10035",-1.8,"random sequence","random sequence"
"10036",-8,"random sequence","random sequence"
"10037",-6.7,"random sequence","random sequence"
"10038",-5,"random sequence","random sequence"
"10039",-5,"random sequence","random sequence"
"10040",-10.1,"random sequence","random sequence"
"10041",-3.5,"random sequence","random sequence"
"10042",-10.8,"random sequence","random sequence"
"10043",-10.9,"random sequence","random sequence"
"10044",-8.6,"random sequence","random sequence"
"10045",-8.1,"random sequence","random sequence"
"10046",-9.3,"random sequence","random sequence"
"10047",-6.7,"random sequence","random sequence"
"10048",-7.3,"random sequence","random sequence"
"10049",-9.5,"random sequence","random sequence"
"10050",-13.8,"random sequence","random sequence"
"10051",-17.3,"random sequence","random sequence"
"10052",-11.4,"random sequence","random sequence"
"10053",-3.5,"random sequence","random sequence"
"10054",-4.3,"random sequence","random sequence"
"10055",-5.5,"random sequence","random sequence"
"10056",-5.1,"random sequence","random sequence"
"10057",-8.8,"random sequence","random sequence"
"10058",-11.2,"random sequence","random sequence"
"10059",-14.2,"random sequence","random sequence"
"10060",0,"random sequence","random sequence"
"10061",-8.6,"random sequence","random sequence"
"10062",-10.4,"random sequence","random sequence"
"10063",-10.3,"random sequence","random sequence"
"10064",-9.9,"random sequence","random sequence"
"10065",-6.3,"random sequence","random sequence"
"10066",-12.6,"random sequence","random sequence"
"10067",-10,"random sequence","random sequence"
"10068",-10.7,"random sequence","random sequence"
"10069",-7.7,"random sequence","random sequence"
"10070",-3,"random sequence","random sequence"
"10071",-15.9,"random sequence","random sequence"
"10072",-6.6,"random sequence","random sequence"
"10073",-5.8,"random sequence","random sequence"
"10074",-9.2,"random sequence","random sequence"
"10075",-1.9,"random sequence","random sequence"
"10076",-3.6,"random sequence","random sequence"
"10077",-5.2,"random sequence","random sequence"
"10078",-9.6,"random sequence","random sequence"
"10079",-4.4,"random sequence","random sequence"
"10080",-7.9,"random sequence","random sequence"
"10081",-3.1,"random sequence","random sequence"
"10082",-10,"random sequence","random sequence"
"10083",-11.6,"random sequence","random sequence"
"10084",-7.2,"random sequence","random sequence"
"10085",-7.9,"random sequence","random sequence"
"10086",-14.2,"random sequence","random sequence"
"10087",-0.9,"random sequence","random sequence"
"10088",-14.3,"random sequence","random sequence"
"10089",-4.1,"random sequence","random sequence"
"10090",-4.4,"random sequence","random sequence"
"10091",-12,"random sequence","random sequence"
"10092",-11.2,"random sequence","random sequence"
"10093",-3.5,"random sequence","random sequence"
"10094",-9.3,"random sequence","random sequence"
"10095",-1.6,"random sequence","random sequence"
"10096",-1.9,"random sequence","random sequence"
"10097",-9.4,"random sequence","random sequence"
"10098",-9.4,"random sequence","random sequence"
"10099",-5.3,"random sequence","random sequence"
"10100",-5.4,"random sequence","random sequence"
"10101",-8.1,"random sequence","random sequence"
"10102",-16.6,"random sequence","random sequence"
"10103",-10.1,"random sequence","random sequence"
"10104",-10.7,"random sequence","random sequence"
"10105",-6.8,"random sequence","random sequence"
"10106",-9.9,"random sequence","random sequence"
"10107",-5.4,"random sequence","random sequence"
"10108",-5.6,"random sequence","random sequence"
"10109",-10.8,"random sequence","random sequence"
"10110",-8.9,"random sequence","random sequence"
"10111",-13.1,"random sequence","random sequence"
"10112",-7.6,"random sequence","random sequence"
"10113",-1.2,"random sequence","random sequence"
"10114",-11.8,"random sequence","random sequence"
"10115",-13.1,"random sequence","random sequence"
"10116",-9.8,"random sequence","random sequence"
"10117",-5.6,"random sequence","random sequence"
"10118",-2.2,"random sequence","random sequence"
"10119",-5.6,"random sequence","random sequence"
"10120",-8.4,"random sequence","random sequence"
"10121",-4.3,"random sequence","random sequence"
"10122",-2.4,"random sequence","random sequence"
"10123",-12.3,"random sequence","random sequence"
"10124",-13.3,"random sequence","random sequence"
"10125",-8.4,"random sequence","random sequence"
"10126",-13.9,"random sequence","random sequence"
"10127",-6.5,"random sequence","random sequence"
"10128",-8.8,"random sequence","random sequence"
"10129",-2.2,"random sequence","random sequence"
"10130",-6.9,"random sequence","random sequence"
"10131",-8.3,"random sequence","random sequence"
"10132",-9.3,"random sequence","random sequence"
"10133",-7.3,"random sequence","random sequence"
"10134",-6.3,"random sequence","random sequence"
"10135",-7.3,"random sequence","random sequence"
"10136",-5,"random sequence","random sequence"
"10137",-5.5,"random sequence","random sequence"
"10138",-7.6,"random sequence","random sequence"
"10139",-8.3,"random sequence","random sequence"
"10140",-1.9,"random sequence","random sequence"
"10141",-9.6,"random sequence","random sequence"
"10142",0,"random sequence","random sequence"
"10143",-14.4,"random sequence","random sequence"
"10144",-8.1,"random sequence","random sequence"
"10145",-6.6,"random sequence","random sequence"
"10146",-4.2,"random sequence","random sequence"
"10147",-9.4,"random sequence","random sequence"
"10148",-5,"random sequence","random sequence"
"10149",-10,"random sequence","random sequence"
"10150",-2.8,"random sequence","random sequence"
"10151",-8.4,"random sequence","random sequence"
"10152",-3,"random sequence","random sequence"
"10153",-5.1,"random sequence","random sequence"
"10154",-11.1,"random sequence","random sequence"
"10155",-0.5,"random sequence","random sequence"
"10156",-8.3,"random sequence","random sequence"
"10157",-13.6,"random sequence","random sequence"
"10158",-13.2,"random sequence","random sequence"
"10159",-6,"random sequence","random sequence"
"10160",-12.8,"random sequence","random sequence"
"10161",-9.1,"random sequence","random sequence"
"10162",-8.8,"random sequence","random sequence"
"10163",-7.3,"random sequence","random sequence"
"10164",-1.6,"random sequence","random sequence"
"10165",-4.8,"random sequence","random sequence"
"10166",-10.1,"random sequence","random sequence"
"10167",-6.4,"random sequence","random sequence"
"10168",-14.3,"random sequence","random sequence"
"10169",-6.6,"random sequence","random sequence"
"10170",-18.1,"random sequence","random sequence"
"10171",-8.3,"random sequence","random sequence"
"10172",-5.1,"random sequence","random sequence"
"10173",-5.3,"random sequence","random sequence"
"10174",-7.7,"random sequence","random sequence"
"10175",-2.6,"random sequence","random sequence"
"10176",-7.4,"random sequence","random sequence"
"10177",-6.2,"random sequence","random sequence"
"10178",-3.8,"random sequence","random sequence"
"10179",-8.1,"random sequence","random sequence"
"10180",-6.3,"random sequence","random sequence"
"10181",-5.1,"random sequence","random sequence"
"10182",-10.1,"random sequence","random sequence"
"10183",-5.7,"random sequence","random sequence"
"10184",-7.5,"random sequence","random sequence"
"10185",-16.2,"random sequence","random sequence"
"10186",-2.6,"random sequence","random sequence"
"10187",-14.5,"random sequence","random sequence"
"10188",-9.3,"random sequence","random sequence"
"10189",-7.5,"random sequence","random sequence"
"10190",-6.7,"random sequence","random sequence"
"10191",-5.7,"random sequence","random sequence"
"10192",-17,"random sequence","random sequence"
"10193",-1.9,"random sequence","random sequence"
"10194",-8.8,"random sequence","random sequence"
"10195",-6.9,"random sequence","random sequence"
"10196",-10.8,"random sequence","random sequence"
"10197",-4.1,"random sequence","random sequence"
"10198",-3.4,"random sequence","random sequence"
"10199",-11.8,"random sequence","random sequence"
"10200",-13.4,"random sequence","random sequence"
"10201",-9.4,"random sequence","random sequence"
"10202",-12.1,"random sequence","random sequence"
"10203",-1.9,"random sequence","random sequence"
"10204",-7.6,"random sequence","random sequence"
"10205",-4.8,"random sequence","random sequence"
"10206",-5.7,"random sequence","random sequence"
"10207",-2.4,"random sequence","random sequence"
"10208",-8.7,"random sequence","random sequence"
"10209",-12.2,"random sequence","random sequence"
"10210",-7,"random sequence","random sequence"
"10211",-13.7,"random sequence","random sequence"
"10212",-12.6,"random sequence","random sequence"
"10213",-8.8,"random sequence","random sequence"
"10214",-3.6,"random sequence","random sequence"
"10215",-7.7,"random sequence","random sequence"
"10216",-9.2,"random sequence","random sequence"
"10217",-7,"random sequence","random sequence"
"10218",-12.9,"random sequence","random sequence"
"10219",-4.5,"random sequence","random sequence"
"10220",-6.2,"random sequence","random sequence"
"10221",-6.8,"random sequence","random sequence"
"10222",-7.3,"random sequence","random sequence"
"10223",-10.3,"random sequence","random sequence"
"10224",-10.4,"random sequence","random sequence"
"10225",-15.9,"random sequence","random sequence"
"10226",-5.3,"random sequence","random sequence"
"10227",-1.7,"random sequence","random sequence"
"10228",-7.4,"random sequence","random sequence"
"10229",-9.3,"random sequence","random sequence"
"10230",-13.9,"random sequence","random sequence"
"10231",-7.6,"random sequence","random sequence"
"10232",-15.2,"random sequence","random sequence"
"10233",-10.3,"random sequence","random sequence"
"10234",-2.9,"random sequence","random sequence"
"10235",-7.8,"random sequence","random sequence"
"10236",-3.3,"random sequence","random sequence"
"10237",-6.7,"random sequence","random sequence"
"10238",-11,"random sequence","random sequence"
"10239",-9.9,"random sequence","random sequence"
"10240",-2.4,"random sequence","random sequence"
"10241",-9.6,"random sequence","random sequence"
"10242",-2.6,"random sequence","random sequence"
"10243",-1.8,"random sequence","random sequence"
"10244",-6.9,"random sequence","random sequence"
"10245",-0.8,"random sequence","random sequence"
"10246",-11.9,"random sequence","random sequence"
"10247",-6.2,"random sequence","random sequence"
"10248",-3.8,"random sequence","random sequence"
"10249",-3.5,"random sequence","random sequence"
"10250",-5.5,"random sequence","random sequence"
"10251",-2,"random sequence","random sequence"
"10252",-10.3,"random sequence","random sequence"
"10253",-5.5,"random sequence","random sequence"
"10254",-8.7,"random sequence","random sequence"
"10255",-12.9,"random sequence","random sequence"
"10256",-4.3,"random sequence","random sequence"
"10257",-5.2,"random sequence","random sequence"
"10258",-8.3,"random sequence","random sequence"
"10259",-5.7,"random sequence","random sequence"
"10260",-6.9,"random sequence","random sequence"
"10261",-0.3,"random sequence","random sequence"
"10262",-2.4,"random sequence","random sequence"
"10263",-8.8,"random sequence","random sequence"
"10264",-2.6,"random sequence","random sequence"
"10265",-9.6,"random sequence","random sequence"
"10266",-1,"random sequence","random sequence"
"10267",-11.4,"random sequence","random sequence"
"10268",-8.1,"random sequence","random sequence"
"10269",-6.2,"random sequence","random sequence"
"10270",-14.4,"random sequence","random sequence"
"10271",-24.2,"random sequence","random sequence"
"10272",-13.1,"random sequence","random sequence"
"10273",-4.5,"random sequence","random sequence"
"10274",-5.8,"random sequence","random sequence"
"10275",-10.7,"random sequence","random sequence"
"10276",-1.6,"random sequence","random sequence"
"10277",-13.4,"random sequence","random sequence"
"10278",-6.2,"random sequence","random sequence"
"10279",-7.2,"random sequence","random sequence"
"10280",-4.5,"random sequence","random sequence"
"10281",-8.2,"random sequence","random sequence"
"10282",-4.4,"random sequence","random sequence"
"10283",-7.8,"random sequence","random sequence"
"10284",-10.6,"random sequence","random sequence"
"10285",-6.6,"random sequence","random sequence"
"10286",-4,"random sequence","random sequence"
"10287",-11.9,"random sequence","random sequence"
"10288",-10.3,"random sequence","random sequence"
"10289",-8.3,"random sequence","random sequence"
"10290",-11.6,"random sequence","random sequence"
"10291",-10.7,"random sequence","random sequence"
"10292",-9.7,"random sequence","random sequence"
"10293",-9.4,"random sequence","random sequence"
"10294",-7,"random sequence","random sequence"
"10295",-3.3,"random sequence","random sequence"
"10296",-12,"random sequence","random sequence"
"10297",-10,"random sequence","random sequence"
"10298",-4.9,"random sequence","random sequence"
"10299",-9.8,"random sequence","random sequence"
"10300",-12.3,"random sequence","random sequence"
"10301",-13.7,"random sequence","random sequence"
"10302",-12.5,"random sequence","random sequence"
"10303",-11.6,"random sequence","random sequence"
"10304",-10.3,"random sequence","random sequence"
"10305",-9.6,"random sequence","random sequence"
"10306",-4.9,"random sequence","random sequence"
"10307",-5.6,"random sequence","random sequence"
"10308",-4.3,"random sequence","random sequence"
"10309",-8.4,"random sequence","random sequence"
"10310",-13.1,"random sequence","random sequence"
"10311",-2,"random sequence","random sequence"
"10312",-16.5,"random sequence","random sequence"
"10313",-2.6,"random sequence","random sequence"
"10314",-7.3,"random sequence","random sequence"
"10315",-12,"random sequence","random sequence"
"10316",-14.6,"random sequence","random sequence"
"10317",-8.6,"random sequence","random sequence"
"10318",-8.2,"random sequence","random sequence"
"10319",-14.8,"random sequence","random sequence"
"10320",-6.3,"random sequence","random sequence"
"10321",-14,"random sequence","random sequence"
"10322",-5.6,"random sequence","random sequence"
"10323",-3.9,"random sequence","random sequence"
"10324",-8.3,"random sequence","random sequence"
"10325",-10,"random sequence","random sequence"
"10326",-6.5,"random sequence","random sequence"
"10327",-5.8,"random sequence","random sequence"
"10328",-6.1,"random sequence","random sequence"
"10329",-5.9,"random sequence","random sequence"
"10330",-9.1,"random sequence","random sequence"
"10331",-6.1,"random sequence","random sequence"
"10332",-8.8,"random sequence","random sequence"
"10333",-4.4,"random sequence","random sequence"
"10334",-3.8,"random sequence","random sequence"
"10335",-8.5,"random sequence","random sequence"
"10336",-3.8,"random sequence","random sequence"
"10337",-11.1,"random sequence","random sequence"
"10338",-3.8,"random sequence","random sequence"
"10339",-8,"random sequence","random sequence"
"10340",-6.3,"random sequence","random sequence"
"10341",-2.5,"random sequence","random sequence"
"10342",-9,"random sequence","random sequence"
"10343",-17.2,"random sequence","random sequence"
"10344",-5.2,"random sequence","random sequence"
"10345",-1.6,"random sequence","random sequence"
"10346",-2.6,"random sequence","random sequence"
"10347",-8.9,"random sequence","random sequence"
"10348",-2,"random sequence","random sequence"
"10349",-14.1,"random sequence","random sequence"
"10350",-11,"random sequence","random sequence"
"10351",-2.3,"random sequence","random sequence"
"10352",-8.7,"random sequence","random sequence"
"10353",-8.1,"random sequence","random sequence"
"10354",-12.5,"random sequence","random sequence"
"10355",-2,"random sequence","random sequence"
"10356",-10.8,"random sequence","random sequence"
"10357",-8.7,"random sequence","random sequence"
"10358",-15.4,"random sequence","random sequence"
"10359",-6.3,"random sequence","random sequence"
"10360",-18.3,"random sequence","random sequence"
"10361",-12.9,"random sequence","random sequence"
"10362",-9.3,"random sequence","random sequence"
"10363",-4.4,"random sequence","random sequence"
"10364",-11.2,"random sequence","random sequence"
"10365",-11.5,"random sequence","random sequence"
"10366",-3.7,"random sequence","random sequence"
"10367",-15.4,"random sequence","random sequence"
"10368",-2.7,"random sequence","random sequence"
"10369",-8.7,"random sequence","random sequence"
"10370",-1.6,"random sequence","random sequence"
"10371",-7,"random sequence","random sequence"
"10372",-8.8,"random sequence","random sequence"
"10373",-5.9,"random sequence","random sequence"
"10374",-10.3,"random sequence","random sequence"
"10375",0,"random sequence","random sequence"
"10376",-4.9,"random sequence","random sequence"
"10377",-13.6,"random sequence","random sequence"
"10378",-10.1,"random sequence","random sequence"
"10379",-3.7,"random sequence","random sequence"
"10380",-14.6,"random sequence","random sequence"
"10381",-21.3,"random sequence","random sequence"
"10382",-4.8,"random sequence","random sequence"
"10383",-4.1,"random sequence","random sequence"
"10384",-9.8,"random sequence","random sequence"
"10385",-12.2,"random sequence","random sequence"
"10386",-6.3,"random sequence","random sequence"
"10387",-13.7,"random sequence","random sequence"
"10388",-4.7,"random sequence","random sequence"
"10389",-5.6,"random sequence","random sequence"
"10390",-9.1,"random sequence","random sequence"
"10391",-9.8,"random sequence","random sequence"
"10392",-7.6,"random sequence","random sequence"
"10393",-4.5,"random sequence","random sequence"
"10394",-13,"random sequence","random sequence"
"10395",-7.4,"random sequence","random sequence"
"10396",-7.8,"random sequence","random sequence"
"10397",-8.4,"random sequence","random sequence"
"10398",-10.2,"random sequence","random sequence"
"10399",-10.1,"random sequence","random sequence"
"10400",-11.4,"random sequence","random sequence"
"10401",-5.4,"random sequence","random sequence"
"10402",-5.4,"random sequence","random sequence"
"10403",-1.4,"random sequence","random sequence"
"10404",-15.4,"random sequence","random sequence"
"10405",-8.3,"random sequence","random sequence"
"10406",-4.5,"random sequence","random sequence"
"10407",-3.5,"random sequence","random sequence"
"10408",-1.6,"random sequence","random sequence"
"10409",-12.2,"random sequence","random sequence"
"10410",-2.7,"random sequence","random sequence"
"10411",-6.9,"random sequence","random sequence"
"10412",-9,"random sequence","random sequence"
"10413",-4.7,"random sequence","random sequence"
"10414",-3.8,"random sequence","random sequence"
"10415",-3.1,"random sequence","random sequence"
"10416",-3.8,"random sequence","random sequence"
"10417",-9.9,"random sequence","random sequence"
"10418",-7.8,"random sequence","random sequence"
"10419",-12.2,"random sequence","random sequence"
"10420",-10.6,"random sequence","random sequence"
"10421",-7.2,"random sequence","random sequence"
"10422",-8.5,"random sequence","random sequence"
"10423",-13.7,"random sequence","random sequence"
"10424",-12.7,"random sequence","random sequence"
"10425",-7.2,"random sequence","random sequence"
"10426",-7.3,"random sequence","random sequence"
"10427",-9.2,"random sequence","random sequence"
"10428",-8,"random sequence","random sequence"
"10429",-5.2,"random sequence","random sequence"
"10430",-5.5,"random sequence","random sequence"
"10431",-4.6,"random sequence","random sequence"
"10432",-5.8,"random sequence","random sequence"
"10433",-12,"random sequence","random sequence"
"10434",-3.5,"random sequence","random sequence"
"10435",-5.4,"random sequence","random sequence"
"10436",-7,"random sequence","random sequence"
"10437",-9,"random sequence","random sequence"
"10438",-6.6,"random sequence","random sequence"
"10439",-5,"random sequence","random sequence"
"10440",-11.2,"random sequence","random sequence"
"10441",-8.1,"random sequence","random sequence"
"10442",-9.4,"random sequence","random sequence"
"10443",-2.7,"random sequence","random sequence"
"10444",-12.7,"random sequence","random sequence"
"10445",-5.1,"random sequence","random sequence"
"10446",-6.5,"random sequence","random sequence"
"10447",-5.5,"random sequence","random sequence"
"10448",-6.8,"random sequence","random sequence"
"10449",-6.1,"random sequence","random sequence"
"10450",-8.3,"random sequence","random sequence"
"10451",-5,"random sequence","random sequence"
"10452",-15,"random sequence","random sequence"
"10453",-7.5,"random sequence","random sequence"
"10454",-8.3,"random sequence","random sequence"
"10455",-11.2,"random sequence","random sequence"
"10456",-10,"random sequence","random sequence"
"10457",-3.4,"random sequence","random sequence"
"10458",-10.4,"random sequence","random sequence"
"10459",-4.9,"random sequence","random sequence"
"10460",-8.1,"random sequence","random sequence"
"10461",-4.6,"random sequence","random sequence"
"10462",-7.6,"random sequence","random sequence"
"10463",-6,"random sequence","random sequence"
"10464",-8.3,"random sequence","random sequence"
"10465",-15.7,"random sequence","random sequence"
"10466",-6.7,"random sequence","random sequence"
"10467",-9.7,"random sequence","random sequence"
"10468",-13.6,"random sequence","random sequence"
"10469",-6.9,"random sequence","random sequence"
"10470",-6.8,"random sequence","random sequence"
"10471",-8.1,"random sequence","random sequence"
"10472",-11.3,"random sequence","random sequence"
"10473",-8,"random sequence","random sequence"
"10474",-4.9,"random sequence","random sequence"
"10475",-8.2,"random sequence","random sequence"
"10476",-4.1,"random sequence","random sequence"
"10477",-9.3,"random sequence","random sequence"
"10478",-5.6,"random sequence","random sequence"
"10479",-2.4,"random sequence","random sequence"
"10480",-11.3,"random sequence","random sequence"
"10481",-3.6,"random sequence","random sequence"
"10482",-6.1,"random sequence","random sequence"
"10483",-7.6,"random sequence","random sequence"
"10484",-11.3,"random sequence","random sequence"
"10485",-10.3,"random sequence","random sequence"
"10486",-3.9,"random sequence","random sequence"
"10487",-6.3,"random sequence","random sequence"
"10488",-4.6,"random sequence","random sequence"
"10489",-6,"random sequence","random sequence"
"10490",-10.4,"random sequence","random sequence"
"10491",-3.2,"random sequence","random sequence"
"10492",-11.5,"random sequence","random sequence"
"10493",-2.4,"random sequence","random sequence"
"10494",-8,"random sequence","random sequence"
"10495",-2.6,"random sequence","random sequence"
"10496",-9.7,"random sequence","random sequence"
"10497",-2.6,"random sequence","random sequence"
"10498",-9.1,"random sequence","random sequence"
"10499",-8.7,"random sequence","random sequence"
"10500",-6.9,"random sequence","random sequence"
"10501",-11.8,"random sequence","random sequence"
"10502",-5.4,"random sequence","random sequence"
"10503",-7.9,"random sequence","random sequence"
"10504",-5.3,"random sequence","random sequence"
"10505",-5.9,"random sequence","random sequence"
"10506",-10.1,"random sequence","random sequence"
"10507",-13,"random sequence","random sequence"
"10508",-7.9,"random sequence","random sequence"
"10509",-9,"random sequence","random sequence"
"10510",-3.9,"random sequence","random sequence"
"10511",-11.7,"random sequence","random sequence"
"10512",-4.7,"random sequence","random sequence"
"10513",-7.3,"random sequence","random sequence"
"10514",-1,"random sequence","random sequence"
"10515",-11,"random sequence","random sequence"
"10516",-8,"random sequence","random sequence"
"10517",-8.8,"random sequence","random sequence"
"10518",-3.3,"random sequence","random sequence"
"10519",-3.7,"random sequence","random sequence"
"10520",-5.1,"random sequence","random sequence"
"10521",-3.4,"random sequence","random sequence"
"10522",-1.8,"random sequence","random sequence"
"10523",-8.3,"random sequence","random sequence"
"10524",-4.6,"random sequence","random sequence"
"10525",-5.8,"random sequence","random sequence"
"10526",-4.3,"random sequence","random sequence"
"10527",-4.4,"random sequence","random sequence"
"10528",-7.1,"random sequence","random sequence"
"10529",-7.4,"random sequence","random sequence"
"10530",-2.5,"random sequence","random sequence"
"10531",-7.4,"random sequence","random sequence"
"10532",-5.7,"random sequence","random sequence"
"10533",-8.6,"random sequence","random sequence"
"10534",-11.2,"random sequence","random sequence"
"10535",-10.2,"random sequence","random sequence"
"10536",-6,"random sequence","random sequence"
"10537",-3.6,"random sequence","random sequence"
"10538",-12.2,"random sequence","random sequence"
"10539",-3.2,"random sequence","random sequence"
"10540",-5.7,"random sequence","random sequence"
"10541",-5.5,"random sequence","random sequence"
"10542",-4.8,"random sequence","random sequence"
"10543",-10.5,"random sequence","random sequence"
"10544",-3.4,"random sequence","random sequence"
"10545",-4.7,"random sequence","random sequence"
"10546",-16,"random sequence","random sequence"
"10547",-6.4,"random sequence","random sequence"
"10548",-9.5,"random sequence","random sequence"
"10549",-2.8,"random sequence","random sequence"
"10550",-9.9,"random sequence","random sequence"
"10551",-8.4,"random sequence","random sequence"
"10552",-13.6,"random sequence","random sequence"
"10553",-7.1,"random sequence","random sequence"
"10554",-2.6,"random sequence","random sequence"
"10555",-15.2,"random sequence","random sequence"
"10556",-7.8,"random sequence","random sequence"
"10557",-6.6,"random sequence","random sequence"
"10558",-4.6,"random sequence","random sequence"
"10559",-4.9,"random sequence","random sequence"
"10560",-6.3,"random sequence","random sequence"
"10561",-8.2,"random sequence","random sequence"
"10562",-12,"random sequence","random sequence"
"10563",-8.9,"random sequence","random sequence"
"10564",-11.5,"random sequence","random sequence"
"10565",-7,"random sequence","random sequence"
"10566",-10.9,"random sequence","random sequence"
"10567",-8.7,"random sequence","random sequence"
"10568",-6.2,"random sequence","random sequence"
"10569",-9.3,"random sequence","random sequence"
"10570",-11,"random sequence","random sequence"
"10571",-6.3,"random sequence","random sequence"
"10572",-8.4,"random sequence","random sequence"
"10573",-16.1,"random sequence","random sequence"
"10574",-7,"random sequence","random sequence"
"10575",-18.5,"random sequence","random sequence"
"10576",-5.2,"random sequence","random sequence"
"10577",-8,"random sequence","random sequence"
"10578",-7.3,"random sequence","random sequence"
"10579",-9.2,"random sequence","random sequence"
"10580",-1.9,"random sequence","random sequence"
"10581",-2.1,"random sequence","random sequence"
"10582",-7.1,"random sequence","random sequence"
"10583",-10.3,"random sequence","random sequence"
"10584",-14.5,"random sequence","random sequence"
"10585",-9.1,"random sequence","random sequence"
"10586",-6.8,"random sequence","random sequence"
"10587",-7.4,"random sequence","random sequence"
"10588",-3.5,"random sequence","random sequence"
"10589",-5.3,"random sequence","random sequence"
"10590",-5,"random sequence","random sequence"
"10591",-6.7,"random sequence","random sequence"
"10592",-3.8,"random sequence","random sequence"
"10593",-9.9,"random sequence","random sequence"
"10594",-9.3,"random sequence","random sequence"
"10595",-8,"random sequence","random sequence"
"10596",-10.3,"random sequence","random sequence"
"10597",-4.8,"random sequence","random sequence"
"10598",-2,"random sequence","random sequence"
"10599",-10.4,"random sequence","random sequence"
"10600",-11.7,"random sequence","random sequence"
"10601",-9,"random sequence","random sequence"
"10602",-6.3,"random sequence","random sequence"
"10603",-6.3,"random sequence","random sequence"
"10604",-8.5,"random sequence","random sequence"
"10605",-9.5,"random sequence","random sequence"
"10606",-2.5,"random sequence","random sequence"
"10607",-9.5,"random sequence","random sequence"
"10608",-3.6,"random sequence","random sequence"
