TIS_type,MFE
annotated,0.0
annotated,0.0
annotated,-1.4
annotated,-0.9
annotated,-3.4
annotated,0.0
annotated,0.0
annotated,-0.9
annotated,-0.9
annotated,-0.7
annotated,-1.9
annotated,0.0
annotated,-5.6
annotated,-1.3
annotated,0.0
annotated,-3.0
annotated,-4.1
annotated,-0.5
annotated,0.0
annotated,-0.2
annotated,-0.7
annotated,-1.2
annotated,0.0
annotated,-3.2
annotated,0.0
annotated,0.0
annotated,-1.8
annotated,-1.1
annotated,0.0
annotated,-0.1
annotated,-2.1
annotated,-3.3
annotated,-2.2
annotated,0.0
annotated,-1.7
annotated,-2.0
annotated,-1.8
annotated,-3.0
annotated,-2.4
