,Control_R1,Control_R2,Control_R3,Control_R4,Control_R5
b2062_wza_2137243_-1,4.57097347880853,4.3311151957517,4.10162057678453,4.39487203748628,4.2344467869513
b2063_yegH_2137902_1,6.95360431447642,7.21416749565222,7.14959249431217,6.88243827464927,6.93211614228677
b2064_asmA_2141612_-1,7.51428883327261,7.52035487622318,7.2315945493126,7.69791894493828,7.38489486282844
b2065_dcd_2142215_-1,6.33401947318792,6.64032288242965,6.74291606582737,6.75071500174389,6.56463580388875
b2066_udk_2142948_-1,3.38133151562241,3.86694553273197,3.6070561432112,3.83963417310683,3.59907976685815
b2068_alkA_2147540_-1,9.15638002276169,8.99488092082529,9.10906725193272,8.69785660037703,8.74309904729417
b2069_yegD_2147674_1,3.14971178607775,3.02980818073024,3.03997416250723,3.05506786772974,3.50077043943726
b2070_yegI_2150985_-1,6.39068388353105,6.30258984937121,6.11195234866108,6.44219379445416,6.51764667790358
b2071_yegJ_2151185_1,9.53041716136522,9.27184943588211,9.38443297135162,9.0941279505181,9.36137675933503
b2073_yegL_2153128_-1,6.04572014766687,6.28630515635416,5.93648010936559,6.21390806516845,6.07716716568199
b4667_ibsA_2153408_-1,2.7882053889987,2.79676094092187,2.40228193477765,2.6575092840487,2.51904162647854
b4668_ibsB_2153737_-1,6.13783903555312,6.85566350108458,6.12257257310825,6.88243827464927,6.84864441168487
b2074_mdtA_2154016_1,6.98114173195169,7.0148577740551,6.55380144786531,6.98207587937126,6.76004495862058
b2075_mdtB_2155263_1,2.34514735917935,2.6517519455326,2.33080951063396,2.62443784262987,2.20616307730445
b2076_mdtC_2158386_1,5.09448301349681,4.76048039864699,4.934609789631,4.8387297226893,5.11389257671668
b2077_iceT_2161464_1,4.42762729859343,4.20684250169717,4.12293439945971,4.42399376988908,4.44999926815094
b2078_baeS_2162876_1,4.68568749329981,4.82953739390341,4.49399185112257,4.92274277521121,4.74447189451422
b2079_baeR_2164276_1,6.54409644490865,6.47952733708039,6.34746493580421,6.60362569190474,6.52015831816479
b2080_yegP_2165189_1,6.52000216143576,6.52360975043694,6.19731643567627,6.54959601307501,6.58397180986557
b2081_yegQ_2165668_1,6.7042951574602,6.46332205191527,6.55380144786531,6.11618272420081,6.38062162681847
b2082_ogrK_2167520_-1,7.29174173953471,7.10698278220475,7.39819372135734,7.32727194767405,7.27319130659183
b2083_yegZ_2167814_-1,4.68568749329981,4.90613611997278,4.82833371994174,4.81693912998005,4.64671723250787
b2085_yegR_2168306_-1,7.28915200112171,7.15709942112048,7.12074756892113,7.39256764225772,7.2354777022719
b2086_yegS_2168712_1,6.96662859784637,6.80797808647922,6.91925519185987,6.90326863206013,6.75151967335618
b4498_gatR_2171727_-1;b4498_gatR_2170167_-1,10.5038367179643,10.5019392099499,10.7332380800537,10.4733071146153,10.497624764366
b2091_gatD_2172873_-1,8.25096032726206,8.35806751284378,8.24175064248169,8.22747789782824,8.42504992549457
b2092_gatC_2174278_-1;b2092_gatC_2173362_-1,5.48232528700043,5.93842517884488,5.45511512951011,6.0523396737456,5.97468094616441
b2093_gatB_2174566_-1,7.37957262769919,7.45447280761434,7.10074461698503,7.31566455503682,7.59246545108517
b2094_gatA_2175049_-1,6.08506911349291,6.33065310498193,6.10393555823121,6.2896965060621,6.34706280213553
b2095_gatZ_2176321_-1,8.46169329555604,8.86623616807105,7.87095957751883,8.36584928470066,8.18262824647868
b2096_gatY_2177204_-1,5.96689283498972,6.54258730860157,5.8560309556546,6.4398194777689,6.54996180678366
b2097_fbaB_2178564_-1,7.31865696475457,7.44074359740592,7.35381254055815,7.47604396474555,7.6019811301726
b2098_yegT_2178821_1,7.47722732175738,7.80602016461683,7.66479682751072,7.82161684533868,7.79582552945544
b2099_yegU_2180095_1,9.51193377363801,9.2253597649087,9.65611099714779,9.19788183222192,9.30895996736754
b2100_yegV_2181096_1,4.68568749329981,3.98263815129861,4.29241393580409,3.99001463428724,3.90609163617935
b2101_yegW_2182781_-1,4.61299757846902,4.54469872122493,4.82183153667217,4.52600955354865,4.40721909290614
b2102_yegX_2183651_-1,7.43098917910085,7.38065173097156,7.30219532969001,7.58856572080726,7.58168475021302
b2103_thiD_2184516_-1,7.78080003077544,7.23658920454575,7.53068437418028,7.21095156089761,7.10101312270123
b2104_thiM_2185301_-1,4.51887338304468,4.62459363483414,4.44406055811004,4.48974205391279,4.4394225629058
b2105_rcnR_2185796_-1,3.81490941734617,3.96228150516514,4.11231684804339,4.11432734338498,4.22215838354803
b2106_rcnA_2185917_1,5.79865331376614,5.61567894972325,5.48010621841687,5.73361396550019,5.72324938597639
b2107_rcnB_2186960_1,7.92121979506466,7.99009535254113,8.00111656790726,7.83161272215042,7.82557491032269
b2108_yehA_2188414_-1,6.6223089530226,6.48845223574462,6.5906029882813,6.54297434254505,6.42954010262972
b2109_yehB_2190910_-1,6.82898942297945,6.86528843116843,6.94341697668041,7.13226239665755,6.97485732679581
b2110_yehC_2191645_-1,4.84228078392757,4.63105605131881,4.66357242408656,4.73410044067237,4.6374930251947
b2111_yehD_2192222_-1,6.17478492003595,6.01206822738705,6.09317673353102,5.97901386994363,6.25053596709879
b2112_yehE_2192796_-1,9.79490531492968,9.81221229973667,10.2146863086951,9.63305280120935,9.66015525570547
