"","gene","01_no_PNA","02_PNA15_5nM","03_PNA15_0.5nM","07_no_PNA","08_PNA15_5nM","09_PNA15_0.5nM","13_no_PNA","14_PNA15_5nM","15_PNA15_0.5nM","74_PNA15_16nM","75_PNA15_63nM","76_PNA15_250nM","77_PNA15_1000nM","78_PNA14_1000nM","79_no_PNA","80_PNA15_16nM","81_PNA15_63nM","82_PNA15_250nM","83_PNA15_1000nM","84_PNA14_1000nM","85_no_PNA","86_PNA15_16nM","87_PNA15_63nM","88_PNA15_250nM","89_PNA15_1000nM","90_PNA14_1000nM"
"b2650_ypjC_2785011_-1","ypjC","171.979346310351","247.275373191321","156.801396294391","234.563849295598","154.492049633656","249.142111831222","171.959020025297","195.534267111354","262.83497161779","143.964202501995","181.751918560012","191.646695956671","157.623464890441","195.981565956214","227.7804224422","181.625798498228","177.638215620662","188.615095763285","224.329480536323","199.871157079935","258.473042798341","190.531470614547","197.754259237011","202.031220823949","169.557233557608","200.305184687972"
"b4462_ygaQ_2786397_1","ygaQ","141.489543900755","161.680051702017","148.280867590092","145.522614718799","128.306956475409","161.073272300185","146.535658223637","148.495882854144","138.600122613376","168.503555201199","156.865392608774","148.935596280415","146.906388302702","145.532421872858","125.82973744453","107.055206339484","119.93146580632","122.094593239626","128.860120895078","134.333694341768","147.197125052545","153.521760495174","140.378125342654","117.797236012674","135.138564352538","130.930500424146"
"b2659_csiD_2788985_1","csiD","53.9543047248161","50.0041397016548","51.0048315493452","54.3771718621994","57.4201685684411","63.1546283479144","77.9309080352385","74.1377812765865","75.2938478814625","45.1933078877002","42.8690479289075","47.8010234718718","45.3414778712044","44.4769712635193","58.7682069201157","64.6491829015718","53.8048699336572","67.3625342011731","50.0861418807513","55.0369852828806","48.6931921269264","58.9413901901116","63.0170459345325","56.047370938257","52.5337582603699","58.2861076806732"
"b2660_lhgO_2789982_1","lhgO","64.2112428626066","63.5346716209261","65.3240533996254","61.2435357225994","76.4978792980209","68.0215905325243","91.856267012027","79.9762692523058","67.070967125987","64.6202954412364","68.2372485759763","62.6281927895357","64.632215729135","75.7522973463474","67.7764722144399","69.289842070249","69.8231136543643","67.7835500399304","67.957253537733","72.4170858985271","62.1037761881127","70.9352777287971","70.7531538753447","63.5420775172099","64.8520188179739","62.693106066285"
"b2661_gabD_2791273_1","gabD","475.331804385554","508.767609631151","504.604644376817","469.570689807995","492.653824134443","557.846570397908","489.303897991743","472.587045581807","461.273889126434","448.865659789601","534.33779590788","536.212406816413","518.706506846578","549.597061867587","482.585640767373","485.348939951652","534.352181554871","531.74300435051","469.822119613808","537.334777367071","516.467136165925","464.334788997682","491.242854241573","523.163104891695","520.084206777662","507.515620536593"
"b2662_gabT_2792735_1","gabT","543.196203297237","478.765125810158","633.477641029339","373.552343566596","523.327790405532","477.194054195801","634.945267106779","524.362316309884","486.437885655238","381.586934472618","437.521182045966","459.863549882174","475.178688090222","492.389932751258","346.174766310462","461.665575918403","572.960256163754","594.89538016411","386.345216479222","451.882616006809","397.528027528022","360.501991162776","401.794106175932","500.516056750946","482.767123323744","460.460250677318"
"b2663_gabP_2794253_1","gabP","67.4428809060201","57.0635476595355","59.9987229594386","49.8365118899995","57.2331321887394","50.407822626317","76.7811077527514","69.2907346552346","69.2505258804504","61.3483817480093","53.9475659330072","55.5465596825917","53.9151391413958","58.1501037720924","58.4822302441054","70.8900693697929","61.6086296950273","77.4669143313491","56.1999432370871","64.2701637349428","60.826577706095","54.4865176757427","56.7314582326226","62.0757218821974","55.2510216186649","56.5801728217266"
"b2664_csiR_2795674_1","csiR","127.157931708225","127.755674571091","120.944171330466","137.105781599599","122.695865084356","131.292098932453","125.583741964983","123.269208393017","113.832409494474","140.078804991288","115.120252303471","127.248094890399","117.887842465131","116.143045101558","119.395262234298","105.935047229803","110.690171352066","120.410529884597","128.860120895078","108.806671562537","122.930353894208","115.826685373591","117.169801520218","118.937734839906","124.631812700464","117.140860314328"
"b2665_ygaU_2796786_-1","ygaU","199.097004674647","211.880286069169","208.161249873082","210.310080175798","204.617799393728","206.614132741892","207.730584369341","204.787719752116","208.841357018583","242.530602510463","254.324239398462","219.530626315263","227.531779862771","230.242978448961","243.938104636782","217.310867278056","234.934241237038","210.928935217423","228.797258450568","231.55363216054","238.037867086057","237.650314516526","239.819346165177","233.965187986445","217.924521335259","224.472595189714"
"b2666_yqaE_2797028_-1","yqaE","691.992059296144","610.344646358434","801.284720233449","512.983829054395","757.68437417184","606.863832400051","755.674296767927","638.818712664079","557.669828585201","621.050117895681","642.875160701669","588.882053049309","605.102631953891","608.375815410188","498.743322961955","554.318736561992","653.462198965257","624.366488877123","549.066391040161","600.156599384043","519.660132370969","587.186465643932","556.67743390761","606.093662471848","596.167580809922","569.071436696914"
