"","logFC","logCPM","F","PValue","FDR"
"b4688_ykgS_290429_1",0.180850388329981,7.91111262409949,2.10342343492169,0.157922527639848,0.911450156819245
"b0276_yagJ_291404_1",0.238572407722052,6.79315295849268,2.83234616647152,0.103344188512201,0.911450156819245
"b0277_yagK_292948_-1",-0.334110244308984,5.47035518214946,2.51685919093055,0.123738730442124,0.911450156819245
"b0281_intF_297096_-1",-0.2163343363815,6.45839843489188,1.90554980275114,0.178225107433539,0.911450156819245
"b4695_ykgT_297791_-1",-0.285518296234762,6.06210488895127,2.57341933031965,0.119734501017412,0.911450156819245
"b0285_paoB_301887_-1",-0.268874960822123,5.88984425657332,3.00786514144127,0.0937023553541251,0.911450156819245
"b0288_ykgJ_304182_-1",-0.239450608227756,5.7931093114703,2.53049436082701,0.122733963937577,0.911450156819245
"b0289_ecpE_305205_-1",-0.27807517111522,7.36646346315155,3.52323897583748,0.0708196087966232,0.911450156819245
"b0291_ecpC_309332_-1",-0.356731174001538,5.64644373831645,4.86459901934215,0.0356667402369211,0.911450156819245
"b0304_rclA_320001_-1",-0.232968707184727,8.25737041752333,3.49601962079104,0.0718558653065994,0.911450156819245
"b0305_rclR_320227_1",0.330966531084962,6.4292255197391,2.8798257704547,0.101211554480033,0.911450156819245
"b0307_ykgF_322338_1",0.228557496233999,7.19044293651866,2.83013054806811,0.103472987381868,0.911450156819245
"b0330_prpR_348443_-1",0.580902414516845,2.64855192449301,2.42003658776634,0.130864113918968,0.911450156819245
"b0333_prpC_350012_1",-0.208719697793237,8.69459725349558,3.23795189296446,0.0825822066796711,0.911450156819245
"b0337_codA_356171_1",0.177758012056944,9.36971204847138,2.11758804417171,0.156578291177487,0.911450156819245
"b0351_mhpF_372921_1",-0.274328450418844,6.75564961739393,2.27882129772289,0.142358366083303,0.911450156819245
"b0354_yaiL_376772_1",0.298940408851217,7.25599722865514,4.12912039016183,0.0515972088377111,0.911450156819245
"b0363_yaiP_383935_-1",-0.713436392381325,3.67011935666645,10.3561961663395,0.00321738107172193,0.911450156819245
"b0365_tauA_385232_1",0.244161086194235,6.79593630100648,3.22704447968948,0.0830740837300866,0.911450156819245
"b0369_hemB_389727_-1",-0.347721686742289,5.3115099420974,3.72328685957885,0.063700920463639,0.911450156819245
"b0388_aroL_406405_1",0.596902874169233,2.66552407987153,2.12179134859406,0.156285962029955,0.911450156819245
"b0391_yaiE_408177_1",-0.28486091317217,5.00130011064718,2.20136957339058,0.148899784787161,0.911450156819245
"b0392_ykiA_408609_1",0.17121553573964,8.03893563559093,1.88908911216913,0.180051558879034,0.911450156819245
"b0397_sbcC_415753_-1",-0.266843075095809,4.97289498871482,1.90475887662061,0.178312353713581,0.911450156819245
"b0400_phoR_417889_1",-0.225096076000273,8.02840132482613,3.42794806588407,0.0745232937017987,0.911450156819245
"b0402_proY_420986_1",-0.196611603082855,5.86475265438578,2.08811750959174,0.159390563000482,0.911450156819245
"b0403_malZ_422518_1",-0.257255910775708,7.60748332384698,3.01944024699545,0.0931036619281505,0.911450156819245
"b0421_ispA_441101_-1",0.300188889430181,5.72008839013739,2.07217365112811,0.161272594145754,0.911450156819245
"b0424_yajL_443641_-1",0.254895451015944,7.92807178757945,3.33857551540642,0.0781973511292015,0.911450156819245
"b0430_cyoC_448660_-1",-0.251077900451848,7.31156986521798,2.65951292802985,0.113971554365462,0.911450156819245
"b0434_yajG_454167_-1",-0.379277455933205,3.63748578252227,3.39908973260035,0.0756878193941529,0.911450156819245
"b0440_hupB_461451_1",-0.252720301871058,9.23580716757346,3.8673848688225,0.0590719120842181,0.911450156819245
"b0444_queC_465547_-1",0.296841849487862,5.75905717506571,3.89257739779152,0.0583020638102789,0.911450156819245
"b0452_tesB_475161_-1",-0.146521359493644,8.01041031937147,1.96117632353709,0.172216126813623,0.911450156819245
"b0454_ybaZ_476371_-1",-0.593291607832807,3.2644438848197,3.08298664879484,0.0898966257247521,0.911450156819245
"b0458_ylaC_479251_-1",-0.364646195659587,4.44697985879564,4.13475197392873,0.0514484578122844,0.911450156819245
"b0468_ybaN_490882_1",-0.255104082450948,6.01063414237357,2.22384370175185,0.146916569335561,0.911450156819245
