"","Control_R1","Control_R2","Control_R3","Control_R4","Control_R5"
"b2044_wcaL_2117127_-1",25.8207573753443,13.7218874328702,15.2232642924748,12.0039883454989,14.0423155124382
"b2045_wcaK_2118404_-1",294.412766160176,185.909442638887,138.54449772059,130.186111699399,162.603630763347
"b2046_wzxC_2120158_-1",53.465807391338,61.9698142129623,63.1957358023746,69.3087422329401,73.5625846731138
"b2047_wcaJ_2121554_-1",10.8054256407691,10.1807551921295,8.82693475782155,16.4340316634806,11.6487390046362
"b2048_cpsG_2122979_-1",196.46228437762,229.398972970484,186.389042639797,211.498842277838,207.443297342837
"b2049_cpsB_2124520_-1",41.397409922427,32.9767939918978,33.3888401708902,34.1542049354076,41.3290877013806
"b2050_wcaI_2125746_-1",3.08726446879117,2.10254726793979,3.70987113009891,3.14390170953543,4.46800948123034
"b2051_wcaH_2126222_-1",937.405756887501,675.470974921289,997.955333996607,586.623478074679,688.073460109472
"b2052_wcaG_2127190_-1",194.778321940097,161.453498101271,236.920045963558,210.212700669392,173.454510932049
"b2053_gmd_2128314_-1",360.508291832932,354.777186369209,347.57654691306,251.083422893352,289.463185676851
"b2054_wcaF_2128888_-1",1770.12518224236,1378.2750643258,1579.76546846867,1058.49454375131,1119.2363750482
"b2055_wcaE_2129650_-1",370.191075848687,416.968321347218,364.718710065931,419.567973599819,356.962043196867
"b2056_wcaD_2130878_-1",88.4080279699289,30.099624046296,27.3762904083161,16.7198409098021,18.6698967608553
"b2057_wcaC_2132070_-1",17.8219357971127,20.361510384259,19.316915194653,24.2937859373192,22.6591909405253
"b2058_wcaB_2132555_-1",65.6745350633758,61.9698142129623,76.8838810065326,64.1641757991549,65.2648527794003
"b2059_wcaA_2133397_-1",143.557797798789,136.77623279861,121.914040930492,113.323366166436,110.742806427638
"b2060_wzc_2135652_-1",31.8549561097998,28.2183975434025,37.3545644823752,34.2971095585683,32.8717840404803
"b2061_wzb_2136098_-1",28.0660406253743,25.8945295104164,35.0518858499001,27.8664015163368,31.2760663686124
"b2062_wza_2137243_-1",23.4351439221875,19.8082084716433,16.8863099714847,20.7211703583017,18.5103249936685
"b2063_yegH_2137902_1",123.490578751647,148.063591815971,141.87058907861,117.610504861257,121.753258363527
"b2064_asmA_2141612_-1",182.288933861806,183.142933075808,150.185817473659,207.211703583017,166.752496710204
"b2065_dcd_2142215_-1",80.2688761885704,99.373023505786,106.946629819403,107.321371993687,94.3069144073975
"b2066_udk_2142948_-1",10.1037746251347,14.275189345486,11.8971729344551,14.0046530697487,11.808310771823
"b2067_yegE_2143266_1",4.06957589067927,2.65584918055553,2.30267863247519,3.42971095585683,2.71272004217556
"b2068_alkA_2147540_-1",569.600294491971,509.480401136569,552.642871794045,414.709216412355,427.971479594992
"b2069_yegD_2147674_1",8.56014239073915,7.85688715914343,7.93144862297009,8.00265889699927,11.010451935889
"b2070_yegI_2150985_-1",83.4964708604884,78.5688715914343,68.9524323835625,86.600201635385,91.2750508308483
"b2071_yegJ_2151185_1",738.27719865047,617.374274096637,668.928142734042,545.895660473879,657.116537275233
"b2072_yegK_2152472_-1",2.52594365628368,2.65584918055553,1.66304567900986,1.85776010108912,2.39357650780197
"b2073_yegL_2153128_-1",65.6745350633758,77.6835885312492,61.0209837605924,73.8816901740826,67.1797139856419
"b4667_ibsA_2153408_-1",6.59551954696295,6.63962295138882,4.98913703702957,6.00199417274945,5.42544008435112
"b4668_ibsB_2153737_-1",70.0247713603088,115.418778971642,69.4641387463348,117.610504861257,114.891672374494
"b2074_mdtA_2154016_1",125.876192204804,128.919345639466,93.7701909780173,126.041877627739,108.030086385462
"b2075_mdtB_2155263_1",4.77122690631363,5.97566065624994,4.73328385564344,5.85908954958875,4.30843771404354
"b2076_mdtC_2158386_1",33.819578953576,26.7798125706016,30.3186019942566,28.2951153858189,34.3079299451615
"b2077_iceT_2161464_1",21.1898606721576,18.1483027337961,17.1421631528708,21.1498842277838,21.5421885702177
"b2078_baeS_2162876_1",25.3997667659637,28.1077371608793,22.2592267805935,30.0099708637473,26.4889133530084
"b2079_baeR_2164276_1",92.8985944699888,88.860287166087,81.2333850900969,96.8893345029555,91.4346225980351
"b2080_yegP_2165189_1",91.3549622355932,91.6267967291657,73.1740098764337,93.3167189239379,95.5834885448919
"b2081_yegQ_2165668_1",103.844350313885,87.8643437233787,93.7701909780173,69.0229329866187,82.9773189371348
"b2082_ogrK_2167520_-1",156.187516080208,137.440195093749,168.607246533461,160.196082563146,154.305898869633
"b2083_yegZ_2167814_-1",25.3997667659637,29.6569825162034,28.1438499524745,27.8664015163368,24.7336239139537
"b2085_yegR_2168306_-1",155.906855673954,142.309251924767,139.056204083363,167.627122967503,150.316604689963
"b2086_yegS_2168712_1",124.613220376662,111.656325965855,120.890628204947,119.325360339186,107.391799316715
"b4498_gatR_2171727_-1;b4498_gatR_2170167_-1",1449.89165870683,1448.65506761052,1704.23804121302,1420.47195421737,1444.76278010927
"b2091_gatD_2172873_-1",303.955219972803,327.554732268515,302.802240170487,299.242280898509,343.238871218802
"b2092_gatC_2174278_-1;b2092_gatC_2173362_-1",44.3443441880913,60.973870770254,43.6229674263355,66.021935900244,62.5521327372247
"b2093_gatB_2174566_-1",166.010630299089,174.954064769095,137.137305222967,158.9099409547,192.603122994465
"b2094_gatA_2175049_-1",67.4988277040251,80.1181169467584,68.5686526114833,77.8830196225822,81.0624577308933
"b2095_gatZ_2176321_-1",351.807819239066,465.990870804972,234.105660968311,329.395156385416,290.101472745598
"b2096_gatY_2177204_-1",62.166279985204,92.8440609369203,57.6948924025727,86.4572970122243,93.3494838042767
"b2097_fbaB_2178564_-1",159.134450345872,173.294159031248,163.490182905738,177.630446588752,193.879697131959
"b2098_yegT_2178821_1",177.658037158619,223.312651931711,202.891572839203,225.789304593908,221.804756389649
"b2099_yegU_2180095_1",728.87507504097,597.78738639004,807.600567045325,586.623478074679,633.659487498774
"b2100_yegV_2181096_1",25.3997667659637,15.4924535532406,19.316915194653,15.5766039245164,14.6806025811854
"b2101_yegW_2182781_-1",24.1367949378219,23.0173595648146,28.0159233617814,22.7218350825515,20.9039015014705
"b2102_yegX_2183651_-1",172.044829033544,166.211894549767,157.73348632455,192.063813527983,191.166977089784
"b2103_thiD_2184516_-1",219.3361074873,150.387459848957,184.85392355148,147.763380348165,136.912576246272
"b2104_thiM_2185301_-1",22.5931627034263,24.3452841550923,21.4916672364351,22.1502165899087,21.3826168030309
"b2105_rcnR_2185796_-1",13.7523599064334,15.2711327881943,17.0142365621778,17.0056501561235,18.3507532264817
"b2106_rcnA_2185917_1",55.2901000319873,48.6905683101847,44.3905269704939,52.8747105694595,52.4991114044565
"b2107_rcnB_2186960_1",241.788939987599,253.744257125576,256.236961158211,227.361255448676,226.432337638066
"b2108_yehA_2188414_-1",98.0908119856831,89.4135890787028,96.2007962011856,92.8880050544558,85.8496107464972
"b2109_yehB_2190910_-1",113.246473923385,116.193401649304,122.937453656036,139.903626074327,125.423409008823
"b2110_yehC_2191645_-1",28.346701031628,24.4559445376155,25.0736117758409,26.294450661569,24.5740521467669
"b2111_yehD_2192222_-1",71.8490640009581,64.1830218634252,68.0569462487111,62.7351295675479,75.7965894137289
"b2112_yehE_2192796_-1",886.886883761827,898.009004175338,1189.58936685482,793.263563165053,808.390572568318
