"","RNA_input"
"b1564_relB_1645872_-1",1180
"b1565_ydfV_1645897_1",574
"b1566_flxA_1646405_1",926
"b1567_intK_1647356_-1",1314
"b1568_ydfX_1647636_-1",965
"b1569_dicC_1647850_-1",4806
"b1570_dicA_1647934_1",6578
"b1571_ydfA_1648508_1",7061
"b1572_ydfB_1648665_1",1069
"b1573_ydfC_1648823_1",1662
"b1575_dicB_1649609_1",7624
"b1576_ydfD_1649794_1",4679
"b1577_ydfE_1650078_1",3029
"b1578_insD1_1650845_1",6054
"b1579_intQ_1651551_1",3920
"b1580_rspB_1653915_-1",2520
"b1581_rspA_1655141_-1",2791
"b1582_ynfA_1655673_-1",6335
"b1583_ynfB_1655808_1",2985
"b1584_speG_1656184_1",13864
"b1585_ynfC_1657457_-1",11656
"b1586_ynfD_1657565_1",37132
"b1587_ynfE_1658069_1",1162
"b1588_ynfF_1660556_1",684
"b1589_ynfG_1662990_1",3124
"b1590_ynfH_1663609_1",3725
"b1591_dmsD_1664506_1",524
"b1592_clcB_1665315_1",1935
"b1593_ynfK_1667219_-1",981
"b1594_mlc_1668564_-1",2419
"b1595_ynfL_1669592_-1",3322
"b1596_ynfM_1669699_1",2510
"b1597_asr_1671376_1",1843
"b4601_ydgU_1671777_1",3579
"b1598_ydgD_1671960_1",17915
"b1599_mdtI_1673149_-1",12862
"b1600_mdtJ_1673501_-1",8127
"b1601_tqsA_1673913_1",8278
"b1602_pntB_1676360_-1",6070
"b1603_pntA_1677903_-1",1117
"b1604_ydgH_1678427_1",749
"b1605_ydgI_1679557_1",2043
"b1606_folM_1680976_1",1656
"b1607_ydgC_1682030_-1",6183
"b1608_rstA_1682159_1",3526
"b1609_rstB_1682882_1",1735
"b1610_tus_1684259_1",16053
"b1611_fumC_1686588_-1",2821
"b1612_fumA_1688377_-1",4159
"b1613_manA_1688576_1",1424
"b1614_ydgA_1689852_1",1293
"b1615_uidC_1692851_-1",654
"b1616_uidB_1694263_-1",1071
"b1617_uidA_1696071_-1",1003
"b1618_uidR_1697052_-1",5692
"b1619_hdhA_1698040_-1",4043
"b1620_malI_1699180_-1",1316
"b1621_malX_1699355_1",2388
"b1622_malY_1700957_1",6449
"b1623_add_1702233_1",3094
"b1624_ydgJ_1704308_-1",1395
"b4409_blr_1704551_1",5874
"b1625_cnu_1704949_1",1999
"b1626_ydgK_1705250_1",830
"b1627_rsxA_1705767_1",6659
"b1628_rsxB_1706348_1",4509
"b1629_rsxC_1706919_1",821
"b1630_rsxD_1709142_1",2344
"b1631_rsxG_1710204_1",777
"b1632_rsxE_1710828_1",2642
"b1633_nth_1711523_1",3497
"b1634_dtpA_1712769_1",11528
"b1635_gstA_1714377_1",2918
"b1636_pdxY_1715889_-1",1840
"b1637_tyrS_1717222_-1",908
"b1638_pdxH_1718007_-1",3163
"b1639_mliC_1718395_-1",1250
"b1640_anmK_1719602_-1",959
"b1641_slyB_1719876_1",1011
"b1642_slyA_1720824_-1",2210
"b1643_ydhI_1721025_1",17648
"b1644_ydhJ_1721264_1",686
"b1645_ydhK_1722121_1",6706
"b1646_sodC_1724655_-1",3015
"b1647_ydhF_1725632_-1",4532
"b1648_ydhL_1725920_-1",3288
"b1649_nemR_1726023_1",2894
"b1650_nemA_1726659_1",469
"b1651_gloA_1727837_1",12608
"b1652_rnt_1728347_1",5457
"b1653_lhr_1729087_1",2416
"b1654_grxD_1734101_-1",2884
"b1655_mepH_1734435_1",3886
"b1656_sodB_1735378_1",5052
"b1657_ydhP_1737290_-1",1707
"b4602_ynhF_1737545_-1",2825
"b1658_purR_1737844_1",5341
"b1659_ydhB_1739798_-1",12424
"b1660_ydhC_1739911_1",7986
"b1661_cfa_1741413_1",4379
"b1662_ribC_1743242_-1",3204
"b1663_mdtK_1743457_1",1230
"b1664_ydhQ_1746127_-1",873
"b1667_ydhR_1746700_1",1364
"b1668_ydhS_1747131_1",4550
"b1669_ydhT_1749559_-1",2243
"b1670_ydhU_1750348_-1",1810
"b1671_ydhX_1751013_-1",6357
"b1672_ydhW_1751724_-1",2931
"b1673_ydhV_1753830_-1",3025
"b1674_ydhY_1754477_-1",2922
"b1675_ydhZ_1755141_-1",3137
"b1676_pykF_1755698_1",6382
"b1677_lpp_1757421_1",8828
"b1678_ldtE_1758725_-1",210
"b1679_sufE_1759290_-1",1635
"b1680_sufS_1760523_-1",2490
"b1681_sufD_1761791_-1",1416
"b1682_sufC_1762512_-1",2229
"b1683_sufB_1764009_-1",1235
"b1684_sufA_1764386_-1",1757
"b1685_ydiH_1765122_-1",3849
"b1686_menI_1765632_-1",3040
"b1687_ydiJ_1768685_-1",2220
"b1688_ydiK_1769074_1",3705
"b1689_ydiL_1770615_1",864
"b1690_ydiM_1771071_1",1489
"b1691_ydiN_1772512_1",10558
"b1692_ydiB_1773789_1",10029
"b1693_aroD_1774686_1",4467
"b1694_ydiF_1775587_1",1138
"b1695_ydiO_1777196_1",2079
"b1696_ydiP_1779301_-1",1208
"b1697_ydiQ_1779617_1",520
"b1698_ydiR_1780401_1",816
"b1699_ydiS_1781395_1",1054
"b1700_ydiT_1782681_1",1968
"b1701_fadK_1783031_1",551
"b1702_ppsA_1787112_-1",11121
"b1703_ppsR_1787445_1",3930
"b1704_aroH_1788435_1",804
"b1705_ydiE_1789613_1",3731
"b1706_ydiU_1791244_-1",4441
"b1707_ydiV_1792020_-1",7970
"b1708_nlpC_1792731_-1",3316
"b1709_btuD_1793558_-1",473
"b1710_btuE_1794109_-1",3573
"b1711_btuC_1795152_-1",7620
"b1712_ihfA_1795552_-1",3599
"b1713_pheT_1797944_-1",927
"b1714_pheS_1798942_-1",2295
"b1715_pheM_1799270_-1",3497
"b1716_rplT_1799749_-1",9597
"b1717_rpmI_1799999_-1",7266
"b1718_infC_1800638_-1",310
"b1719_thrS_1802570_-1",2740
"b4494_arpB_1803094_1;b4494_arpB_1803518_1",8597
"b4535_yniD_1805165_1",610
"b1722_ydiY_1806083_-1",1541
"b1723_pfkB_1806370_1",2016
"b1724_ydiZ_1807400_1",3535
"b1725_yniA_1807796_1",1788
"b1726_yniB_1809233_-1",5657
"b1727_yniC_1809380_1",4145
"b1728_ydjM_1810211_1",2562
"b1729_ydjN_1810934_1",7287
"b1730_ydjO_1813132_-1",8930
"b1731_cedA_1813663_-1",3641
"b1732_katE_1813867_1",619
"b1733_chbG_1817135_-1",4456
"b1734_chbF_1818500_-1",8981
"b1735_chbR_1819447_-1",1491
"b1736_chbA_1819805_-1",643
"b1737_chbC_1821214_-1",7028
"b1738_chbB_1821619_-1",4581
"b1739_osmE_1822256_-1",1868
"b1740_nadE_1822458_1",3631
"b1741_cho_1823515_1",2126
"b1742_ves_1824937_-1",1747
"b1743_spy_1825625_-1",1944
"b1744_astE_1826923_-1",666
"b1745_astB_1828259_-1",1837
"b1746_astD_1829734_-1",292
"b1747_astA_1830765_-1",333
"b1748_astC_1831982_-1",5108
"b1749_xthA_1832428_1",1485
"b1750_ydjX_1833401_1",8122
"b1751_ydjY_1834116_1",1351
"b1752_ydjZ_1834808_1",3872
"b1753_ynjA_1835515_1",6340
"b1754_ynjB_1836073_1",4935
"b1755_ynjC_1837212_1",2544
"b1756_ynjD_1838747_1",637
"b1757_ynjE_1839467_1",1991
"b1758_ynjF_1841403_-1",1660
"b1759_nudG_1841490_1",716
"b1760_ynjH_1842135_-1",960
"b1761_gdhA_1842371_1",11002
"b1762_ynjI_1844871_-1",4636
"b1763_topB_1846960_-1",713
"b1764_selD_1848008_-1",2044
"b1765_ydjA_1848676_-1",2422
"b1766_sppA_1848837_1",9805
"b1767_ansA_1850860_1",1380
"b1768_pncA_1851887_1",1415
"b1769_ydjE_1853979_-1",2212
"b1770_ydjF_1854854_-1",2349
"b1771_ydjG_1855971_-1",4128
"b1772_ydjH_1856928_-1",1190
"b1773_ydjI_1857769_-1",4462
"b1774_ydjJ_1858833_-1",1150
"b1775_ydjK_1860229_-1",4503
"b1776_ydjL_1861332_-1",1639
"b1777_yeaC_1861974_-1",4933
"b1778_msrB_1862429_-1",5632
"b1779_gapA_1862771_1",11248
"b1780_yeaD_1863850_1",1826
"b1781_yeaE_1865636_-1",2456
"b1782_mipA_1866472_-1",7543
"b1783_yeaG_1866908_1",1233
"b1784_yeaH_1868955_1",3670
"b1785_yeaI_1870385_1",5872
"b1786_yeaJ_1872041_1",6442
"b1787_yeaK_1873574_1",996
"b1788_yoaI_1874182_-1",2657
"b1789_yeaL_1874352_1",1371
"b1790_yeaM_1875576_-1",6044
"b1791_yeaN_1875673_1",17018
"b1792_yeaO_1876909_1",1653
"b1793_yoaF_1877532_-1",5548
"b1794_yeaP_1877715_1",1841
"b4676_yoaK_1878773_1",3140
"b4675_yoaJ_1878874_1",2228
"b1795_yeaQ_1879255_-1",2090
"b1796_yoaG_1879585_-1",4179
"b1797_yeaR_1879948_-1",1397
"b1798_leuE_1880759_-1",6649
"b1799_dmlR_1881809_-1",1904
"b1800_dmlA_1881912_1",1013
"b1801_yeaV_1883188_1",17325
"b1802_yeaW_1884665_1",1266
"b1803_yeaX_1885845_1",1304
"b1804_rnd_1887991_-1",573
"b1805_fadD_1889746_-1",3566
"b1806_yeaY_1890532_-1",1586
"b1807_tsaB_1891267_-1",3224
"b1808_yoaA_1893235_-1",1444
"b1809_yoaB_1893367_1",4240
"b1810_yoaC_1894133_1",5439
"b1811_yoaH_1894731_-1",704
"b1812_pabB_1894805_1",769
"b1813_nudL_1896170_1",1831
"b1814_sdaA_1896932_1",15950
"b1815_yoaD_1898427_1",1090
"b1816_yoaE_1901585_-1",7150
"b1817_manX_1902048_1",8349
"b1818_manY_1903082_1",12743
"b1819_manZ_1903895_1",3298
"b1820_yobD_1904801_1",657
"b1821_mntP_1905688_1",1439
"b1822_rlmA_1907060_-1",1769
"b1823_cspC_1907435_-1",1738
"b1824_yobF_1907591_-1",2596
"b1825_yebO_1908548_-1",34925
"b1826_mgrB_1908766_-1",5572
"b4536_yobH_1908925_1",3166
"b1827_kdgR_1910099_-1",1296
"b1828_yebQ_1910276_1",2530
"b1829_htpX_1912576_-1",3517
"b1830_prc_1914816_-1",872
"b1831_proQ_1915534_-1",1003
"b1832_msrC_1916128_-1",2165
"b1833_yebS_1916258_1",5718
"b1834_yebT_1917510_1",620
"b1835_rsmF_1920223_1",1369
"b1836_yebV_1921780_1",1734
"b1837_yebW_1922121_1",3022
"b1838_pphA_1922969_-1",855
"b1839_yebY_1923706_-1",5177
"b1840_yebZ_1924591_-1",1451
"b1841_yobA_1924969_-1",4101
"b1842_holE_1925108_1",321
"b1843_yobB_1925440_1",8590
"b1844_exoX_1926120_1",3584
"b1845_ptrB_1928839_-1",1988
"b1846_yebE_1929707_-1",750
"b1847_yebF_1930390_-1",3364
"b1848_yebG_1930747_-1",3035
"b1849_purT_1930881_1",2150
"b1850_eda_1932756_-1",2431
"b1851_edd_1934604_-1",2513
"b1852_zwf_1936314_-1",1218
"b1853_yebK_1936652_1",1272
"b1854_pykA_1937649_1",1710
"b1855_lpxM_1940193_-1",2286
"b1856_mepM_1941635_-1",12054
"b1857_znuA_1942583_-1",2336
"b1858_znuC_1942662_1",1451
"b1859_znuB_1943414_1",9828
"b1860_ruvB_1945356_-1",957
"b1861_ruvA_1945976_-1",4463
"b4677_yobI_1946180_-1",13118
"b1862_yebB_1946251_1",4115
"b1863_ruvC_1947376_-1",3720
"b1864_yebC_1948151_-1",1352
"b1865_nudB_1948632_-1",1861
"b1866_aspS_1950522_-1",551
"b1867_yecD_1950832_1",5134
"b1868_yecE_1951395_1",539
"b1869_yecN_1952266_1",3223
"b1870_cmoA_1952702_1",4367
"b1871_cmoB_1953442_1",3199
"b1872_torZ_1957007_-1",824
"b1873_torY_1958132_-1",1531
"b1874_cutC_1959266_-1",605
"b1875_yecM_1959846_-1",8740
"b1876_argS_1960062_1",1466
"b1877_yecT_1961972_1",1940
"b1878_flhE_1962972_-1",961
"b1879_flhA_1965050_-1",1879
"b1880_flhB_1966191_-1",3078
"b1881_cheZ_1967037_-1",685
"b1882_cheY_1967437_-1",446
"b1883_cheB_1968501_-1",2671
"b1884_cheR_1969364_-1",1510
"b1885_tap_1970984_-1",7794
"b1886_tar_1972691_-1",7797
"b1887_cheW_1973339_-1",747
"b1888_cheA_1975324_-1",2738
"b1889_motB_1976255_-1",1933
"b1890_motA_1977139_-1",1455
"b1891_flhC_1977844_-1",4269
"b1892_flhD_1978197_-1",14825
"b1893_insB1_1979021_-1",0
"b1894_insA_1979215_-1",8
"b1895_uspC_1979753_1",3121
"b1896_otsA_1981612_-1",946
"b1897_otsB_1982387_-1",2885
"b4460_araH_1983540_-1",3073
"b1900_araG_1985069_-1",2268
"b1901_araF_1986128_-1",1331
"b1902_ftnB_1986925_1",1526
"b4537_yecJ_1987758_-1",930
"b4663_azuC_1987959_-1",1999
"b1904_yecR_1988222_1",1915
"b1905_ftnA_1988716_1",695
"b1906_yecH_1989490_-1",204
"b1907_tyrP_1989681_1",985
"b1908_yecA_1991619_-1",612
"b1912_pgsA_1992817_-1",3997
"b1913_uvrC_1994706_-1",1171
"b1914_uvrY_1995359_-1",9258
"b1915_yecF_1995818_1",296
"b1916_sdiA_1996832_-1",1207
"b1917_yecC_1997814_-1",368
"b1918_yecS_1998479_-1",549
"b1919_dcyD_1999480_-1",685
"b1920_fliY_2000385_-1",760
"b1921_fliZ_2001024_-1",740
"b1922_fliA_2001789_-1",1432
"b1923_fliC_2003606_-1",704
"b1924_fliD_2003872_1",783
"b1925_fliS_2005303_1",1218
"b1926_fliT_2005713_1",1045
"b1927_amyA_2006156_1",1096
"b1928_yedD_2008090_-1",278
"b1929_yedE_2008277_1",421
"b1930_yedF_2009479_1",832
"b1931_yedK_2009821_1",398
"b1932_yedL_2010600_1",394
"b4495_yedN_2012351_-1;b4495_yedN_2012040_-1;b4495_yedN_2011357_-1",3964
"b1936_intG_2012502_1",895
"b1937_fliE_2013014_-1",981
"b1938_fliF_2013229_1",578
"b1939_fliG_2014880_1",320
"b1940_fliH_2015868_1",740
"b1941_fliI_2016554_1",791
"b1942_fliJ_2017946_1",1667
"b1943_fliK_2018386_1",192
"b1944_fliL_2019618_1",760
"b1945_fliM_2020087_1",352
"b1946_fliN_2021088_1",269
"b1947_fliO_2021504_1",577
"b1948_fliP_2021869_1",695
"b1949_fliQ_2022616_1",872
"b1950_fliR_2022893_1",711
"b1951_rcsA_2023968_1",1083
"b1952_dsrB_2024823_-1",827
"b1953_yodD_2024986_1",1689
"b1955_yedP_2025511_1",350
"b1956_yedQ_2028017_-1",562
"b1957_yodC_2028370_-1",1088
"b1958_yedI_2029366_-1",963
"b1959_yedA_2029539_1",2326
"b1960_vsr_2030918_-1",809
"b1961_dcm_2032317_-1",458
"b1962_yedJ_2033079_-1",2724
"b1963_yedR_2033484_-1",5316
"b4496_yedS_2034051_1;b4496_yedS_2034713_1",2172
"b1967_hchA_2035835_1",599
"b1968_yedV_2038152_-1",290
"b1969_yedW_2038823_-1",1829
"b1970_hiuH_2038956_1",843
"b1971_yedY_2039478_1",1130
"b1972_yedZ_2040483_1",720
"b1973_zinT_2041375_1",873
"b1974_yodB_2042368_1",1219
"b1976_mtfA_2043651_1",521
"b1978_yeeJ_2044938_1",1218
"b4497_yeeL_2053328_-1",12505
"b1981_shiA_2053643_1",807
"b1982_amn_2055061_1",564
"b1983_yeeN_2056858_1",2667
"b1985_yeeO_2059690_-1",4471
"b1987_cbl_2060914_-1",1334
"b1988_nac_2061933_-1",835
"b1990_ldtA_2063323_-1",1129
"b1991_cobT_2064467_-1",635
"b1992_cobS_2065222_-1",350
"b1993_cobU_2065764_-1",499
"b4639_yeeH_2066154_-1",772
"b1994_insH1_2067321_-1",1971
"b4640_yoeG_2067892_-1;b4640_yoeG_2067458_-1",12270
"b4641_yoeH_2068419_-1",526
"b4582_yoeA_2068635_1;b4582_yoeA_2070277_1",3029
"b1996_insD1_2069857_-1",0
"b1997_insC1_2070180_-1",0
"b1999_yeeP_2070660_1",606
"b2000_flu_2071539_1",1133
"b2001_yeeR_2074779_1",1481
"b2002_yeeS_2076308_1",558
"b2003_yeeT_2076817_1",412
"b2004_cbeA_2077112_1",895
"b2005_cbtA_2077569_1",1984
"b2006_yeeW_2077940_1",1376
"b4642_yoeD_2078677_-1",2490
"b4538_yoeF_2078746_1",1619
"b2007_yeeX_2079361_-1",1093
"b2008_yeeA_2080591_-1",854
"b2009_sbmC_2081262_-1",765
"b2010_dacD_2082547_-1",486
"b2011_sbcB_2082756_1",1222
"b2012_yeeD_2084453_-1",125
"b2013_yeeE_2085525_-1",2955
"b2014_plaP_2087062_-1",834
"b4678_yoeI_2087114_-1",8523
"b2015_yeeY_2088258_-1",510
"b2016_yeeZ_2089128_-1",3226
"b4539_yoeB_2089465_-1",878
"b2017_yefM_2089713_-1",5309
"b2018_hisL_2089996_1",287
"b2019_hisG_2090192_1",1099
"b2020_hisD_2091097_1",1832
"b2021_hisC_2092398_1",868
"b2022_hisB_2093468_1",881
"b2023_hisH_2094535_1",621
"b2024_hisA_2095125_1",578
"b2025_hisF_2095844_1",2322
"b2026_hisI_2096614_1",195
"b2027_wzzB_2098301_-1",2212
"b2028_ugd_2099613_-1",1185
"b2029_gnd_2101268_-1",649
"b4571_wbbL_2103389_-1;b4571_wbbL_2101744_-1",2403
"b2030_insH1_2102911_-1",0
"b2032_wbbK_2104509_-1",1055
"b2033_wbbJ_2105084_-1",3890
"b2034_wbbI_2106057_-1",1899
"b2035_wbbH_2107226_-1",3615
"b2036_glf_2108329_-1",1030
"b2037_wzxB_2109584_-1",20868
"b2038_rfbC_2110138_-1",3639
"b2039_rfbA_2111019_-1",453
"b2040_rfbD_2111976_-1",3321
"b2041_rfbB_2113061_-1",1282
"b2042_wcaN_2114327_-1",1098
"b2043_wcaM_2115896_-1",527
"b2044_wcaL_2117127_-1",862
"b2045_wcaK_2118404_-1",561
"b2046_wzxC_2120158_-1",2865
"b2047_wcaJ_2121554_-1",174
"b2048_cpsG_2122979_-1",2743
"b2049_cpsB_2124520_-1",391
"b2050_wcaI_2125746_-1",570
"b2051_wcaH_2126222_-1",2154
"b2052_wcaG_2127190_-1",2360
"b2053_gmd_2128314_-1",1829
"b2054_wcaF_2128888_-1",5889
"b2055_wcaE_2129650_-1",1711
"b2056_wcaD_2130878_-1",1022
"b2057_wcaC_2132070_-1",43
"b2058_wcaB_2132555_-1",727
"b2059_wcaA_2133397_-1",1245
"b2060_wzc_2135652_-1",527
"b2061_wzb_2136098_-1",1670
"b2062_wza_2137243_-1",1006
"b2063_yegH_2137902_1",255
"b2064_asmA_2141612_-1",2459
"b2065_dcd_2142215_-1",696
"b2066_udk_2142948_-1",1872
"b2067_yegE_2143266_1",893
"b2068_alkA_2147540_-1",1502
"b2069_yegD_2147674_1",422
"b2070_yegI_2150985_-1",2973
"b2071_yegJ_2151185_1",1352
"b2072_yegK_2152472_-1",1089
"b2073_yegL_2153128_-1",1153
"b4667_ibsA_2153408_-1",5088
"b4668_ibsB_2153737_-1",1848
"b2074_mdtA_2154016_1",1738
"b2075_mdtB_2155263_1",768
"b2076_mdtC_2158386_1",1386
"b2077_iceT_2161464_1",924
"b2078_baeS_2162876_1",498
"b2079_baeR_2164276_1",1820
"b2080_yegP_2165189_1",655
"b2081_yegQ_2165668_1",1043
"b2082_ogrK_2167520_-1",1109
"b2083_yegZ_2167814_-1",2332
"b2085_yegR_2168306_-1",1245
"b2086_yegS_2168712_1",1278
"b4498_gatR_2171727_-1;b4498_gatR_2170167_-1",3318
"b2088_insE1_2170236_1",0
"b2089_insF1_2170532_1",0
"b2091_gatD_2172873_-1",316
"b2092_gatC_2174278_-1;b2092_gatC_2173362_-1",4911
"b2093_gatB_2174566_-1",441
"b2094_gatA_2175049_-1",527
"b2095_gatZ_2176321_-1",1027
"b2096_gatY_2177204_-1",337
"b2097_fbaB_2178564_-1",1863
"b2098_yegT_2178821_1",1017
"b2099_yegU_2180095_1",1650
"b2100_yegV_2181096_1",337
"b2101_yegW_2182781_-1",465
"b2102_yegX_2183651_-1",1065
"b2103_thiD_2184516_-1",1358
"b2104_thiM_2185301_-1",530
"b2105_rcnR_2185796_-1",137
"b2106_rcnA_2185917_1",1997
"b2107_rcnB_2186960_1",7270
"b2108_yehA_2188414_-1",1620
"b2109_yehB_2190910_-1",3206
"b2110_yehC_2191645_-1",899
"b2111_yehD_2192222_-1",731
"b2112_yehE_2192796_-1",2234
"b2113_mrp_2194168_-1",993
"b2114_metG_2194300_1",567
"b4499_yehH_2196474_1;b4499_yehH_2199322_1",2564
"b2118_yehI_2200279_1",5202
"b4541_yehK_2203972_1",4017
"b2119_yehL_2204596_1",666
"b2120_yehM_2205695_1",585
"b2121_yehP_2207967_1",590
"b2122_yehQ_2209100_1",496
"b2123_yehR_2211225_1",796
"b2124_yehS_2212196_-1",163
"b2125_yehT_2212962_-1",1322
"b2126_yehU_2214644_-1",3468
"b2127_mlrA_2214866_1",1824
"b4542_yohO_2215657_1",1685
"b2128_yehW_2216476_-1",502
"b2129_yehX_2217407_-1",1031
"b2130_yehY_2218557_-1",8156
"b2131_osmF_2219481_-1",1485
"b2132_bglX_2221989_-1",607
"b2133_dld_2222185_1",2519
"b2134_pbpG_2224870_-1",785
"b2135_yohC_2225631_-1",5772
"b2136_yohD_2225801_1",1438
"b2137_yohF_2227270_-1",1527
"b2139_mdtQ_2228758_-1;b2139_mdtQ_2228609_-1",1635
"b4679_yohP_2228982_1",923
"b2140_dusC_2230385_-1",4690
"b2141_yohJ_2230624_1",7014
"b2142_yohK_2231019_1",3149
"b2143_cdd_2231844_1",1766
"b2144_sanA_2232878_1",473
"b2145_yeiS_2233600_1",658
"b2146_preT_2234033_1",2178
"b2147_preA_2235265_1",3143
"b2148_mglC_2237753_-1",659
"b2149_mglA_2239289_-1",1258
"b2150_mglB_2240348_-1",915
"b2151_galS_2241668_-1",417
"b2152_yeiB_2242967_-1",1261
"b2153_folE_2243652_-1",998
"b2154_yeiG_2243910_1",1455
"b2155_cirA_2246769_-1",456
"b2156_lysP_2248532_-1",523
"b2157_yeiE_2249618_-1",2462
"b2158_yeiH_2249717_1",2275
"b2159_nfo_2250840_1",341
"b2160_yeiI_2251700_1",768
"b2161_nupX_2254145_-1",251
"b2162_rihB_2255186_-1",1034
"b2163_yeiL_2255355_1",1827
"b2164_psuT_2257335_-1",1049
"b2165_psuG_2258367_-1",1171
"b2166_psuK_2259296_-1",287
"b2167_fruA_2261410_-1",930
"b2168_fruK_2262365_-1",558
"b2169_fruB_2263495_-1",743
"b2170_setB_2263863_1",286
"b4502_yeiW_2265295_-1",509
"b2171_yeiP_2265450_1",357
"b2172_yeiQ_2266245_1",565
"b2173_yeiR_2267829_1",920
"b2174_lpxT_2268854_1",1640
"b2175_mepS_2269979_1",1928
"b2176_rtn_2270726_1",705
"b2177_yejA_2272364_1",988
"b2178_yejB_2274179_1",922
"b2179_yejE_2275273_1",2414
"b2180_yejF_2276300_1",725
"b2181_yejG_2278237_-1",640
"b2182_bcr_2279760_-1",1411
"b2183_rsuA_2280483_-1",1551
"b2184_yejH_2280632_1",1137
"b2185_rplY_2282517_1",212
"b2186_yejK_2283947_-1",2121
"b2187_yejL_2284129_1",947
"b2188_yejM_2284376_1",4655
"b2190_yejO_2290180_-1;b2190_yejO_2288914_-1",2783
"b2192_insH1_2290081_-1",0
"b2193_narP_2290500_1",2999
"b2194_ccmH_2292410_-1",881
"b2195_dsbE_2292964_-1",1911
"b2196_ccmF_2294904_-1",182
"b2197_ccmE_2295380_-1",1171
"b2198_ccmD_2295586_-1",3655
"b2199_ccmC_2296320_-1",558
"b2200_ccmB_2297024_-1",320
"b2201_ccmA_2297644_-1",199
"b2202_napC_2298259_-1",884
"b2203_napB_2298718_-1",1007
"b2204_napH_2299578_-1",2246
"b2205_napG_2300260_-1",180
"b2206_napA_2302753_-1",78
"b2207_napD_2303013_-1",211
"b2208_napF_2303497_-1",3184
"b2209_eco_2303905_1",530
"b2210_mqo_2306754_-1",1075
"b2211_yojI_2308615_-1",298
"b2212_alkB_2309341_-1",1131
"b2213_ada_2310405_-1",942
"b2214_apbE_2311534_-1",293
"b2215_ompC_2312749_-1",1621
"b2216_rcsD_2313488_1",248
"b2217_rcsB_2316177_1",4705
"b2218_rcsC_2319876_-1",1128
"b2219_atoS_2320043_1",954
"b2220_atoC_2321866_1",1770
"b2221_atoD_2323447_1",1260
"b2222_atoA_2324109_1",2086
"b2223_atoE_2324756_1",1531
"b2224_atoB_2326109_1",341
"b2225_yfaP_2328143_-1",1110
"b2226_yfaQ_2329797_-1",7081
"b4500_yfaS_2334402_-1",4365
"b2229_yfaT_2334959_-1",746
"b2230_yfaA_2336644_-1",732
"b2231_gyrA_2339420_-1",798
"b2232_ubiG_2339567_1",994
"b2233_yfaL_2344169_-1",1796
"b2234_nrdA_2344865_1",2350
"b2235_nrdB_2347384_1",1239
"b2236_yfaE_2348514_1",665
"b2237_inaA_2349472_-1",174
"b2238_yfaH_2349651_1",1261
"b2239_glpQ_2351011_-1",594
"b2240_glpT_2352374_-1",3263
"b2241_glpA_2352647_1",162
"b2242_glpB_2354265_1",821
"b2243_glpC_2355521_1",1297
"b2244_yfaD_2356904_1",366
"b4543_ypaA_2357804_1",875
"b2245_rhmA_2358845_-1",409
"b2246_rhmT_2360152_-1",2031
"b2247_rhmD_2361414_-1",353
"b2248_rhmR_2362211_-1",5328
"b2249_yfaY_2363633_-1",1724
"b2250_yfaZ_2364275_-1",105
"b2251_nudI_2364554_1",315
"b2252_ais_2365620_-1",386
"b2253_arnB_2365928_1",1149
"b2254_arnC_2367071_1",478
"b2255_arnA_2368039_1",754
"b2256_arnD_2370018_1",875
"b2257_arnT_2370908_1",138
"b4544_arnE_2372557_1",642
"b2258_arnF_2372892_1",636
"b2259_pmrD_2373538_-1",1304
"b2260_menE_2375003_-1",468
"b2261_menC_2375962_-1",262
"b2262_menB_2376819_-1",1647
"b2263_menH_2377592_-1",1162
"b2264_menD_2379259_-1",463
"b2265_menF_2380643_-1",1950
"b2266_elaB_2381027_-1",972
"b2267_elaA_2381543_-1",3062
"b2268_rbn_2381608_1",482
"b2269_elaD_2382713_1",222
"b2270_yfbK_2385722_-1",78
"b2271_yfbL_2385860_1",749
"b2272_yfbM_2386934_1",1495
"b2273_yfbN_2388426_-1",1901
"b2274_yfbO_2388635_1",3955
"b2275_yfbP_2389116_1",1390
"b2276_nuoN_2391505_-1",263
"b2277_nuoM_2393041_-1",2615
"b2278_nuoL_2395046_-1",2848
"b2279_nuoK_2395345_-1",749
"b2280_nuoJ_2395896_-1",3201
"b2281_nuoI_2396450_-1",1298
"b2282_nuoH_2397442_-1",1212
"b2283_nuoG_2400165_-1",1520
"b2284_nuoF_2401555_-1",1874
"b2285_nuoE_2402052_-1",279
"b2286_nuoC_2403845_-1",465
"b2287_nuoB_2404613_-1",2262
"b2288_nuoA_2405072_-1",2482
"b2289_lrhA_2406641_-1",468
"b2290_alaA_2407561_1",223
"b2291_yfbR_2408862_1",229
"b2292_yfbS_2411352_-1",1444
"b2293_yfbT_2412089_-1",668
"b2294_yfbU_2412594_-1",1387
"b2295_yfbV_2413132_-1",2681
"b2296_ackA_2413470_1",950
"b2297_pta_2414747_1",1738
"b2298_yfcC_2417081_1",2166
"b2299_yfcD_2419176_-1",384
"b2300_yfcE_2419788_-1",831
"b2301_yfcF_2420485_-1",383
"b2302_yfcG_2420621_1",128
"b2303_folX_2421325_1",497
"b2304_yfcH_2421708_1",558
"b2305_yfcI_2423539_-1",367
"b2306_hisP_2424509_-1",534
"b2307_hisM_2425233_-1",622
"b2308_hisQ_2425916_-1",594
"b2309_hisJ_2426788_-1",290
"b2310_argT_2427791_-1",1172
