"","RNA_input"
"b0320_yahF_336778_1",1850
"b0321_yahG_338325_1",1043
"b0323_yahI_340165_1",1781
"b0324_yahJ_341125_1",669
"b0325_yahK_342884_1",7854
"b0326_yahL_344176_1",3969
"b0327_yahM_345404_1",2725
"b0328_yahN_346337_-1",4802
"b0329_yahO_346484_1",3907
"b0330_prpR_348443_-1",2010
"b0331_prpB_348682_1",2921
"b0333_prpC_350012_1",1236
"b0334_prpD_351215_1",450
"b0335_prpE_352706_1",275
"b0336_codB_354922_1",472
"b0337_codA_356171_1",802
"b0338_cynR_358690_-1",1151
"b0339_cynT_358799_1",819
"b0340_cynS_359489_1",530
"b0341_cynX_359992_1",1501
"b0342_lacA_361860_-1",790
"b0343_lacY_363179_-1",4187
"b0344_lacZ_366305_-1",1233
"b0345_lacI_367510_-1",602
"b0346_mhpR_368420_-1",1107
"b0347_mhpA_368611_1",2131
"b0348_mhpB_370277_1",959
"b0349_mhpC_371239_1",2899
"b0350_mhpD_372115_1",2589
"b0351_mhpF_372921_1",973
"b0352_mhpE_373868_1",730
"b0353_mhpT_375459_1",364
"b0354_yaiL_376772_1",525
"b0355_frmB_378368_-1",1342
"b0356_frmA_379571_-1",2939
"b0357_frmR_379881_-1",2267
"b0358_yaiO_380842_-1",1209
"b4579_yaiX_382872_-1;b4579_yaiX_381260_-1",4976
"b0360_insC1_381351_1",29
"b0361_insD1_381674_1",7
"b0363_yaiP_383935_-1",3712
"b0364_yaiS_384616_-1",7034
"b0365_tauA_385232_1",369
"b0366_tauB_386207_1",688
"b0367_tauC_386971_1",459
"b0368_tauD_387795_1",454
"b0369_hemB_389727_-1",679
"b4580_yaiT_390251_1;b4580_yaiT_392970_1",4516
"b0372_insF1_392605_-1",0
"b0373_insE1_392901_-1",1
"b0375_yaiV_394506_1",3491
"b0376_ampH_396287_-1",1912
"b0377_sbmA_396639_1",3653
"b0378_yaiW_397872_1",1043
"b0379_yaiY_399333_-1",40009
"b0380_yaiZ_399593_1",4911
"b0381_ddlA_400923_-1",2233
"b0382_iraP_401386_1",1171
"b0383_phoA_401747_1",2071
"b0384_psiF_403281_1",1282
"b0385_yaiC_403703_1",1739
"b0386_proC_405644_-1",958
"b0387_yaiI_405764_1",1683
"b0388_aroL_406405_1",199
"b0389_yaiA_406979_1",1245
"b0390_aroM_407428_1",1688
"b0391_yaiE_408177_1",378
"b0392_ykiA_408609_1",355
"b0393_rdgC_410019_-1",1192
"b0394_mak_410144_1",1110
"b0396_araJ_412481_-1",711
"b0397_sbcC_415753_-1",455
"b0398_sbcD_416952_-1",298
"b0399_phoB_417142_1",187
"b0400_phoR_417889_1",2286
"b0401_brnQ_419591_1",1118
"b0402_proY_420986_1",253
"b0403_malZ_422518_1",1035
"b0404_acpH_424918_-1",1914
"b0405_queA_425011_1",246
"b0406_tgt_426137_1",77
"b0407_yajC_427287_1",852
"b0408_secD_427647_1",2744
"b0409_secF_429505_1",1795
"b0410_yajD_430605_1",430
"b0411_tsx_432013_-1",209
"b0412_yajI_432851_-1",537
"b0413_nrdR_433002_1",154
"b0414_ribD_433455_1",921
"b0415_ribE_434647_1",198
"b0416_nusB_435137_1",228
"b0417_thiL_435634_1",56
"b0418_pgpA_436589_1",608
"b0419_yajO_438135_-1",1418
"b0420_dxs_440177_-1",1613
"b0421_ispA_441101_-1",413
"b0422_xseB_441343_-1",384
"b0423_thiI_441549_1",514
