"","Control_R1","Control_R2","Control_R3","Control_R4","Control_R5"
"b2457_eutM_2572450_-1",6.82361721967868,7.03578920465629,6.8509711706542,7.11068434663691,7.01921824264737
"b2458_eutD_2573505_-1",6.93700784108173,6.26455178367434,7.03953852669136,6.28092177944941,6.45005669028817
"b2460_eutQ_2575003_-1",8.04813710804243,7.8772845567074,8.04417782538903,7.80794980695068,7.716306397886
"b2461_eutP_2575457_-1",5.66740175238229,5.77766734324512,5.40571001053079,5.87304861304985,5.85572197965885
"b2462_eutS_2575805_-1",8.06939641037994,7.99772837585823,8.17445682115032,8.30889978348474,8.34373051445648
"b2463_maeB_2578377_-1",6.22533610548318,6.68645363937518,6.24375518406114,6.61335010043739,6.62817826091705
"b2464_talA_2578666_1",9.80491733522289,9.19401056587861,9.92296254167135,8.9831162668908,8.9020150859648
"b2465_tktB_2579636_1",7.11550540684966,6.90602087861374,7.35799017022749,6.78954905972298,6.70079293547277
"b2466_ypfG_2582777_-1",5.72977038938932,6.01340694368951,5.7659800817464,5.92147428037198,5.85969192652304
"b2467_nudK_2583478_-1",4.9558788970071,4.70529969925074,5.1122074240974,4.90135538166661,5.03108323539942
"b2468_aegA_2585525_-1",4.73040149789346,4.93140631092959,4.76386023216099,5.17683810028912,4.76085540985421
"b2469_narQ_2585731_1",10.393785197164,9.84062573458306,10.7058540269917,10.1099597079244,10.1466728893761
"b2470_acrD_2587595_1",3.6613996376773,3.94051284734634,3.49896056057801,3.6870023481851,3.76004297792933
"b4606_ypfM_2590866_-1",10.7104317894134,10.2524059063785,10.6584539275318,10.1841363314236,10.3259566593402
"b2471_yffB_2591247_1",7.92858531537101,7.36796289061032,7.32153281555762,7.01669220781989,7.05774356058754
"b2472_dapE_2591607_1",4.94934095728285,4.88353300082536,5.6235079698665,5.13050599834354,5.25859194248203
"b4547_ypfN_2592762_1",6.53358043975822,6.60679215139925,6.94384319482024,6.70116883466339,6.50178059522214
"b2473_ypfH_2593770_-1",8.32561068994351,7.95397328937875,8.20542424514121,7.93638144701565,8.06386113167839
"b2474_tmcA_2595859_-1",3.91059283102607,3.4351765037129,4.09273627004063,3.60465925436263,3.9206787264468
"b2475_ypfJ_2596737_-1",6.61844867435535,6.36675048620245,6.51190491011263,6.38326053247302,6.4709693039753
"b2476_purC_2597618_-1",8.61406530401518,8.62136311997063,8.76189253692171,8.62468727318573,8.5924144541742
"b2477_bamC_2598865_-1",6.56599388187878,6.74567304460524,6.44569330785547,6.69322146582376,6.90283922622954
"b2478_dapA_2599760_-1",7.56795257077294,7.68121580537114,7.7193408587556,7.93974412624107,7.84603619622012
"b2479_gcvR_2599906_1",5.23387622610235,4.98783970193521,5.07436413337257,4.94885548031699,5.20966250682479
