"","gene","01_no_PNA","02_PNA15_5nM","03_PNA15_0.5nM","07_no_PNA","08_PNA15_5nM","09_PNA15_0.5nM","13_no_PNA","14_PNA15_5nM","15_PNA15_0.5nM","74_PNA15_16nM","75_PNA15_63nM","76_PNA15_250nM","77_PNA15_1000nM","78_PNA14_1000nM","79_no_PNA","80_PNA15_16nM","81_PNA15_63nM","82_PNA15_250nM","83_PNA15_1000nM","84_PNA14_1000nM","85_no_PNA","86_PNA15_16nM","87_PNA15_63nM","88_PNA15_250nM","89_PNA15_1000nM","90_PNA14_1000nM"
"b0614_citX_648035_-1","citX","2.95486905903381","2.50470380340754","3.29522046897488","3.25254995740752","2.43512869775733","3.58008902761886","2.03096344602096","2.18942640158002","1.84884896133424","3.2995392376105","2.36611695328647","3.34385123150403","1.97368780005847","3.25919676994696","2.75242176198631","4.20453875871769","2.67270222924585","2.54469181768545","4.33506427512843","1.80426309481377","2.382838627868","2.64448365367312","3.59431939360538","3.37976371489727","4.44316814289073","2.39578613138411"
"b0615_citF_649571_-1","citF","31.2371871955003","36.992548481096","21.4189330483367","47.4423666201166","25.2878749382492","42.1779238566346","24.6254317830041","34.7024084650433","39.2150595482999","24.5403230797281","25.8695453559321","35.2218996385091","30.4276869175681","31.8159684685299","43.1695623722063","37.8408488284592","26.7270222924585","27.1433793886448","30.8271237342466","22.3728623756907","42.7322393930995","39.314656984607","36.2699502445634","29.4522266583905","39.618249274109","34.3865774151602"
"b0616_citE_650490_-1","citE","13.6486808917276","16.6659137688271","16.7114752355155","18.842358373947","15.5473601472199","13.6490894177969","19.4210879525754","19.8143089342992","17.904642572921","15.6728113786499","17.0360420636626","13.8212517568833","15.2960804504532","16.6063835421107","17.0939877849676","25.2272325523061","15.6250284171296","18.2369580267458","17.5810940046875","16.0579415438425","17.1564381206496","17.8061899347323","15.0307901914407","16.4159951866439","20.1793886489621","17.7570030914352"
"b0617_citD_650783_-1","citD","169.271784667508","150.089558681113","173.469820402463","174.29181495901","158.845318130632","181.465762587431","152.703064097701","152.055663589732","161.33639883643","121.876730589238","95.7488660429927","136.652053660798","126.316019203742","118.727882333782","129.508687116619","114.977963748011","103.001832065552","113.66290118995","121.140962799422","110.420901402603","127.402438636676","123.056639350922","129.558876324048","137.604665535103","121.816859917588","140.364881579916"
"b0618_citC_651856_-1","citC","43.6194956333563","49.7087370214727","37.7773489478906","55.2933492759278","43.0830461910912","53.2538242858305","35.2879898746141","38.2054907075713","44.3723750720217","33.4078347808063","40.5394704663083","44.8076065021539","37.9934901511256","37.713562623672","47.8052200766043","38.1642748868221","38.4457936053057","44.1079915065479","44.5548272721533","38.9720828479774","40.3494007652315","44.956222112443","46.7261521168699","36.3726952174658","52.2072256789661","47.2110796478634"
"b0619_citA_652235_1","citA","34.1920562545341","39.0155784761559","26.0087044158374","39.3670701741393","33.3425314000619","38.4859570469027","34.2725081516036","39.9570318288353","40.3827536291425","32.376728769053","41.6436583778419","36.5594401311107","26.8092592841276","36.4719638541684","44.3284767983058","35.0917273323746","44.6135679804884","40.2909537800197","39.2564153803297","40.9567722522725","43.5265189357222","36.3175755104442","38.88400071264","31.8663435976028","37.3966652026636","36.9232921425081"
"b0620_citB_653862_1","citB","2.67345295817345","2.69737332674658","2.70678824237222","2.13098100657734","2.43512869775733","4.25135572029739","1.90402823064465","3.72202488268603","3.50308224252803","2.26843322585722","3.94352825547746","3.12092781607042","2.6315837334113","2.94879707757106","3.18701467177362","4.36625178789914","4.11184958345515","4.24115302947576","2.89004285008562","3.42809988014616","4.13025362163787","3.52597820489749","2.61405046807664","3.54070484417809","3.88777212502939","4.65064366680445"
"b0621_dcuC_655968_-1","dcuC","71.1982735176719","64.4479555569094","74.848579223858","63.4808026169881","65.5611572473127","56.6101577492231","64.736959841918","73.3457844529306","69.4777978101392","64.134793931054","54.1052076651507","67.0999480455141","66.6119632519735","64.8735357065633","59.2495000343368","74.2262803942854","66.200778293628","57.6796812008703","65.7484748394479","57.5559927245591","55.4407120750622","69.4617706364806","63.3907238508585","64.6983339708905","73.1271423517433","56.5123669814722"
"b0622_pagP_656557_1","pagP","72.1832298706831","84.5819207458392","65.6690364888565","80.8651213548559","52.0742906135798","66.0078914467226","50.2663452890186","61.9607671647145","61.4012470843107","63.1036879193007","62.9387109574202","66.2082543837797","59.2106340017542","65.959934629879","61.277600280011","58.2166905053219","57.3603016891994","58.5279118067654","68.1568438811859","47.9933983220462","71.9617265616137","71.2247597389293","61.7569423083106","57.4559831532535","67.0177861552685","66.0955115070087"
"b0623_cspE_657292_1","cspE","35283.528601721","26009.7113074389","43825.373059358","35941.2378138285","52269.1009094004","35808.3860875901","31464.828122695","20640.8174008956","20660.9844507502","33423.7138133873","28284.8775418469","32931.5844683442","29568.4748286093","35993.1723286786","30139.1631580533","29602.3785568103","34421.5264179781","30582.9544955497","35784.9922435685","40126.0895234202","30658.0783538753","33031.5401223899","31103.9330070269","35727.6431713083","33353.567324639","30170.8393954999"
"b0624_flc_657938_-1","flc","103.139000965323","130.533602062201","103.446385436747","132.120822407795","101.338817345132","123.177438106511","95.2014115322323","104.873524635683","124.456727449815","124.557606219796","142.913463978503","122.384955073047","119.243637920199","121.831879257541","123.424386379597","128.400145170071","127.672929566283","114.935247098793","143.77963179176","124.49415354215","135.186378154378","121.469949158719","132.663061254889","119.740200184932","125.889764048571","122.466949892517"
"b4581_ybeM_658031_1;b4581_ybeM_658225_1","ybeM","252.289534421316","193.247531909059","270.678824237222","177.992992496749","252.878749382492","167.928550951747","291.950995365512","251.893507501781","203.081462226555","304.588715871919","250.019691397271","268.176868766623","300.658441542241","304.967697759323","210.487832640321","264.40080271167","284.745583654269","265.496179645182","214.344844714684","275.330548268581","198.569885655667","234.124952805193","256.667080334275","296.131677876713","242.708059805406","262.268117088578"
"b0627_tatE_658947_1","tatE","212.609864200004","195.655900950797","235.725949977024","244.950658861311","273.858319701632","205.183852395406","228.102582031229","218.723697517844","190.723366537637","283.554153232152","253.489996262091","296.042295695823","285.526835075126","260.735741595757","238.156914563447","249.199777968614","259.868893674366","244.290414497804","264.198083878661","244.658075656747","251.627759102861","277.318185815188","267.286660360836","271.829567355309","290.472117341482","250.00732923973"
