"","genenames","transcript","01_no_PNA","02_PNA15_5nM","03_PNA15_0.5nM","07_no_PNA","08_PNA15_5nM","09_PNA15_0.5nM","13_no_PNA","14_PNA15_5nM","15_PNA15_0.5nM","74_PNA15_16nM","75_PNA15_63nM","76_PNA15_250nM","77_PNA15_1000nM","78_PNA14_1000nM","79_no_PNA","80_PNA15_16nM","81_PNA15_63nM","82_PNA15_250nM","83_PNA15_1000nM","84_PNA14_1000nM","85_no_PNA","86_PNA15_16nM","87_PNA15_63nM","88_PNA15_250nM","89_PNA15_1000nM","90_PNA14_1000nM"
"727","b0812_dps_848911_-1","b0812_dps_848911_-1",1276.375,1780.848,1064.281,2441.713,1331.315,1815.04,1176.116,1252.924,1619.93,1363.907,1315.101,2030.943,1664.707,1615.538,2330.843,1960.7,1532.919,1381.977,1925.297,1440.643,2172.133,1937.124,1633.403,1661.258,1824.951,1872.021
"728","b0813_rhtA_850097_-1","b0813_rhtA_850097_-1",244.745,231.331,270.908,226.609,219.973,201.671,318.504,273.059,276.377,266.986,276.517,259.798,264.533,260.156,227.97,281.255,276.633,243.878,287.001,267.941,294.86,253.734,240.351,303.101,284.168,256.003
"729","b0814_ompX_850450_1","b0814_ompX_850450_1",1294.873,1583.419,1317.048,1769.817,1482.427,1638.135,1870.56,1968.72,2302.802,1688.844,2022.853,1881.842,1691.666,1678.168,1924.59,1577.612,1539.159,1437.598,1777.013,1833.378,1901.845,1963.372,1852.498,1676.165,1603.521,1725.11
"730","b0815_opgE_852597_-1","b0815_opgE_852597_-1",112.412,133.613,68.936,126.901,99.466,95.528,84.847,114.617,105.911,86.926,77.359,99.401,101.096,73.872,116.907,122.847,93.597,64.178,81.317,80.749,114.668,104.993,89.927,69.564,107.024,107.638
"731","b0817_mntR_853183_1","b0817_mntR_853183_1",547.831,438.731,579.308,469.081,447.597,470.566,622.65,521.396,504.337,515.346,401.608,454.082,488.629,354.904,477.859,612.618,576.144,628.949,518.993,471.65,511.09,502.217,549.373,539.95,529.586,474.187
"732","b0818_ybiR_853647_1","b0818_ybiR_853647_1",31.305,30.911,16.932,38.524,36.343,38.919,28.718,34.835,33.286,35.184,39.502,18.073,30.329,25.694,33.611,16.164,24.959,8.557,33.483,25.693,29.486,24.498,19.62,29.813,16.607,14.546
"733","b0819_ldtB_855744_-1","b0819_ldtB_855744_-1",200.634,189.452,146.339,191.485,139.635,145.062,130.535,129.225,159.37,84.856,110.278,106.178,114.575,136.502,137.366,103.45,91.518,85.571,141.109,119.289,160.535,157.49,138.978,125.878,167.918,120.729
"734","b0820_ybiT_855963_1","b0820_ybiT_855963_1",213.441,292.155,273.327,264,267.793,274.792,220.603,247.214,285.455,339.425,350.584,259.798,331.93,271.398,317.112,278.022,322.391,222.485,320.484,372.548,363.66,328.979,330.278,336.227,267.561,328.731
"735","b0821_ybiU_859061_-1","b0821_ybiU_859061_-1",433.996,480.61,351.938,527.999,369.172,415.136,477.757,489.932,543.675,449.117,378.565,451.823,399.328,459.288,507.086,423.498,384.79,457.807,468.768,330.338,411.165,486.468,366.249,407.447,470.538,449.46
"736","b0822_ybiV_860028_-1","b0822_ybiV_860028_-1",385.616,414.8,322.913,428.291,300.311,397.445,298.924,322.501,339.923,341.494,322.603,431.491,323.506,364.54,398.947,303.884,334.871,342.285,310.917,334.009,465.223,337.728,377.694,407.447,376.431,384.004
"737","b0823_ybiW_862606_-1","b0823_ybiW_862606_-1",1111.314,920.338,1029.208,1159.106,969.794,1148.7,994.673,1068.637,1048.012,676.78,831.197,948.828,889.641,1008.507,1027.325,892.256,796.619,787.256,782.077,970.828,881.303,878.443,928.702,864.583,826.671,875.646
"738","b0824_ybiY_863511_-1","b0824_ybiY_863511_-1",1592.267,1785.834,1418.639,1673.508,1172.552,1822.116,1336.674,1363.046,1709.702,985.159,1236.097,1287.695,1044.654,1276.692,1449.653,1194.524,1227.167,1078.199,1145.611,1231.428,1485.765,1270.417,1286.775,1220.685,1188.34,1360.015
"739","b0825_fsaA_863642_1","b0825_fsaA_863642_1",5109.769,4598.697,5866.851,3903.342,5765.207,4715.093,5209.634,4526.257,3719.988,4431.147,5569.841,4617.628,5369.86,5357.291,3632.9,4365.911,5372.495,5737.558,4348.062,4243.013,3874.128,4267.973,4355.742,5149.404,4696.157,4270.594
"740","b0826_moeB_865129_-1","b0826_moeB_865129_-1",61.186,68.801,78.612,65.717,43.995,45.995,74.405,77.535,97.841,91.065,60.9,83.587,101.096,80.295,71.606,79.204,89.438,106.964,88.492,73.409,91.734,76.995,88.292,86.127,114.405,62.546
"741","b0827_moeA_866364_-1","b0827_moeA_866364_-1",314.469,283.181,364.033,301.39,407.428,319.607,439.901,505.664,387.331,335.285,497.072,311.758,272.958,390.234,352.184,332.979,395.189,419.3,310.917,359.702,298.136,304.48,356.438,304.757,287.859,365.095
"742","b0828_iaaA_866568_1","b0828_iaaA_866568_1",462.455,469.641,466.832,460.016,489.679,524.817,348.527,396.666,392.374,523.625,531.637,567.037,556.026,505.859,496.857,514.017,424.309,376.514,456.81,559.74,519.281,493.468,588.614,541.607,461.312,491.642
"743","b0829_gsiA_867520_1","b0829_gsiA_867520_1",72.57,77.775,52.005,54.386,55.471,62.506,60.046,65.175,65.564,55.881,44.44,79.069,55.603,73.872,86.219,69.505,58.238,42.786,62.183,55.056,70.439,73.495,63.766,66.252,75.655,49.455
"744","b0830_gsiB_869411_1","b0830_gsiB_869411_1",566.329,517.503,535.769,532.531,539.412,487.077,578.268,665.229,693.967,523.625,651.79,537.669,542.546,549.219,672.218,728.999,615.663,543.378,590.743,634.984,663.434,566.963,595.154,647.609,632.92,699.644
"745","b0831_gsiC_870967_1","b0831_gsiC_870967_1",1528.235,1949.361,1612.144,1760.753,1470.95,1613.369,1585.995,1736.114,1858.985,1910.298,1858.26,2024.166,1875.323,1729.557,1692.236,1823.305,1876.109,2464.454,1889.422,1581.954,2031.255,1791.884,1782.192,1916.327,1769.593,2141.115
"746","b0832_gsiD_871890_1","b0832_gsiD_871890_1",5005.895,4470.069,5029.939,5248.267,6344.789,6683.45,5123.482,5324.083,4627.794,5755.731,6613.363,5792.367,6096.064,6147.395,5167.311,5311.508,6063.037,6139.743,5744.799,6364.52,5541.723,5212.911,5760.24,6416.466,5380.744,5645.155
"747","b0833_yliE_872979_1","b0833_yliE_872979_1",247.591,254.264,188.668,275.33,256.316,226.438,244.1,288.79,257.212,248.359,240.306,221.393,276.328,250.521,286.423,295.802,239.194,269.55,227.209,245.919,237.526,265.983,279.592,243.475,250.954,219.639
"748","b0834_yliF_875335_1","b0834_yliF_875335_1",1087.124,1131.726,772.813,1088.857,816.77,1218.282,858.917,871.99,914.867,697.476,901.972,892.35,839.093,987.63,922.108,864.777,842.377,859.992,906.444,941.464,1053.304,918.69,938.512,970.586,977.982,1057.467
"749","b0835_rimO_878035_-1","b0835_rimO_878035_-1",320.161,302.126,256.395,313.854,271.619,305.455,295.008,349.47,248.134,312.519,238.66,307.239,271.273,252.127,214.818,284.487,224.634,282.385,296.567,236.743,226.059,279.982,281.227,299.788,274.942,261.821
"750","b0836_bssR_878248_1","b0836_bssR_878248_1",4600.358,3701.293,4975.515,3873.883,5118.678,3739.76,4978.588,4337.476,3552.548,3340.435,4417.687,4992.641,5519.819,5098.74,3988.007,3969.891,4654.915,5604.922,4472.429,5061.519,3887.233,4294.221,4411.334,4442.168,5330.922,4267.685
"751","b0837_yliI_878742_1","b0837_yliI_878742_1",416.921,505.538,377.336,559.724,327.09,503.588,466.008,482.067,542.666,531.903,533.283,551.224,497.053,526.736,640.069,889.023,482.547,569.049,545.301,434.946,622.481,579.212,549.373,491.918,490.836,561.461
"752","b0838_gstB_880480_-1","b0838_gstB_880480_-1",1144.042,1185.57,1301.326,1361.921,1486.253,1395.186,1396.72,1334.954,1408.108,1365.977,1296.996,1533.938,1487.79,1315.234,1325.439,1367.479,1414.362,1480.384,1504.362,1369.069,1438.26,1455.905,1448.644,1391.283,1535.247,1354.197
"753","b0839_dacC_880727_1","b0839_dacC_880727_1",152.254,182.472,151.176,175.622,175.978,161.573,184.054,189.905,130.119,240.081,159.656,234.948,151.643,207.161,195.82,176.188,168.475,260.993,224.817,198.203,147.43,166.239,171.679,190.473,155.001,184.729
"754","b0840_deoR_882734_-1","b0840_deoR_882734_-1",1723.178,2071.009,1764.53,1965.834,1798.041,1943.59,1930.606,2131.656,2018.356,1736.447,2032.729,1924.765,1903.967,1663.715,2091.183,1933.221,1811.631,2135.005,1784.188,1717.76,2072.208,1931.874,1836.148,1866.638,1915.368,2039.296
"755","b0841_ybjG_883388_-1","b0841_ybjG_883388_-1",741.351,669.065,645.825,641.304,558.54,547.224,745.352,691.075,705.063,641.595,678.125,646.106,647.012,730.686,637.146,638.48,559.505,543.378,684.018,723.074,760.083,696.455,838.775,722.142,651.373,689.462
"756","b0842_mdfA_883673_1","b0842_mdfA_883673_1",516.526,478.615,426.922,505.338,482.028,481.18,405.962,398.913,389.348,360.121,358.814,411.159,411.122,457.682,429.635,391.17,430.548,500.592,490.293,440.451,442.289,356.977,410.395,422.354,369.05,404.368
"757","b0843_ybjH_885230_-1","b0843_ybjH_885230_-1",1583.73,1552.509,1624.238,1395.912,1528.335,1449.437,1330.147,1492.271,1319.345,1800.606,1747.982,1619.784,1644.488,1549.696,1370.74,1461.23,1526.679,1296.406,1451.746,1440.643,1376.012,1630.894,1639.944,1543.662,1645.961,1466.198
"758","b0844_ybjI_886131_-1","b0844_ybjI_886131_-1",2201.285,1981.269,2696.986,2128.992,2848.173,2460.151,2814.325,2266.5,2314.906,2187.633,2615.389,2243.3,2422.924,2524.479,2300.155,2646.055,2402.335,2122.169,2193.164,2756.491,2286.8,2371.096,2365.901,2572.218,2158.941,2424.755
"759","b0845_ybjJ_887339_-1","b0845_ybjJ_887339_-1",589.096,477.618,419.665,649.235,441.859,511.844,441.207,565.22,586.039,525.694,472.383,551.224,497.053,460.894,635.684,470.374,470.067,440.692,507.035,456.968,479.966,603.711,537.928,498.543,525.896,496.006
"760","b0846_rcdA_887423_1","b0846_rcdA_887423_1",2770.46,2200.634,2588.139,2301.215,2509.606,2243.148,2720.34,2571.022,2309.862,2512.57,2561.074,2546.021,2411.13,2378.342,2387.835,2393.896,2283.778,2562.861,2551.915,2662.895,2593.127,2490.088,2516.324,2600.375,2682.991,2520.756
"761","b0847_ybjL_889819_-1","b0847_ybjL_889819_-1",882.221,957.231,980.832,828.256,1113.255,983.589,1099.101,951.773,874.52,879.606,1035.293,801.985,739.683,896.094,720.442,632.014,804.938,932.728,853.827,924.948,851.817,897.692,851.855,803.3,752.861,811.646
"762","b0848_ybjM_890089_1","b0848_ybjM_890089_1",3151.807,2695.203,3441.983,2491.567,3115.966,2491.994,3572.731,3235.128,3080.489,2057.244,3216.155,2627.349,3054.772,3157.204,2716.638,3006.514,3338.31,3106.239,2673.89,3479.565,2735.642,2619.58,2929.989,3057.51,3004.064,3018.216
"763","b0849_grxA_890753_-1","b0849_grxA_890753_-1",6700.614,6552.046,7218.972,5502.069,6048.303,6573.769,6811.294,6019.652,5865.436,4621.556,5411.832,5620.674,5710.215,5758.766,4835.586,5348.685,5524.331,6067.007,5065.564,4907.361,5643.286,4887.432,5055.539,6134.896,5895.568,5888.067
"764","b0850_ybjC_890913_1","b0850_ybjC_890913_1",435.419,446.708,472.88,467.948,508.807,449.337,575.657,722.538,530.562,573.296,569.493,535.41,586.354,544.401,618.148,667.575,569.905,586.164,557.26,497.343,538.938,500.467,568.993,611.171,490.836,551.279
"765","b0851_nfsA_891184_1","b0851_nfsA_891184_1",1898.199,1999.217,1805.65,2036.083,1493.904,2053.271,1946.27,1830.505,1999.191,929.278,1186.719,1409.687,1285.599,1395.529,1684.929,1323.836,1272.926,1484.663,1334.554,1288.32,1738.034,1450.656,1294.95,1497.286,1376.555,1495.29
"766","b0852_rimK_891967_1","b0852_rimK_891967_1",392.731,256.259,315.656,290.06,294.573,200.492,340.695,319.13,314.706,134.528,263.349,282.389,357.204,273.003,369.72,336.212,345.271,265.271,227.209,400.077,294.86,257.233,315.562,321.32,357.978,251.639
"767","b0853_ybjN_892957_1","b0853_ybjN_892957_1",712.892,791.71,853.844,701.355,964.056,895.136,933.322,858.506,694.976,749.218,691.292,765.839,679.025,786.892,632.762,714.451,744.62,817.206,717.502,732.25,524.195,738.452,652.38,667.485,738.099,653.098
"768","b0854_potF_893784_1","b0854_potF_893784_1",463.878,433.745,436.597,430.557,527.935,402.163,486.894,432.624,414.565,457.395,465.799,404.381,379.108,377.387,382.872,305.501,357.75,282.385,404.193,414.758,334.174,376.226,403.854,362.727,413.336,315.64
"769","b0855_potG_894991_1","b0855_potG_894991_1",193.52,154.553,204.39,169.957,174.066,137.985,203.634,212.379,198.709,246.29,204.096,194.284,180.287,168.62,200.204,287.72,245.433,188.257,243.951,187.192,167.087,194.237,219.095,230.224,250.954,213.821
"770","b0856_potH_896134_1","b0856_potH_896134_1",1270.683,1329.155,1216.667,1224.822,1340.879,1110.96,1583.384,2402.467,1685.493,1390.813,1670.623,1393.873,1531.598,1411.588,1331.284,1545.283,1439.321,1565.955,1305.853,1354.388,1384.202,1382.41,1456.819,1321.719,1378.4,1397.834
"771","b0857_potI_897084_1","b0857_potI_897084_1",340.082,331.042,403.943,317.253,470.551,292.482,432.069,411.274,368.166,418.072,390.086,431.491,426.286,396.658,309.805,425.115,422.229,449.249,447.243,368.878,291.583,356.977,343.358,362.727,324.764,328.731
"772","b0858_ybjO_897989_1","b0858_ybjO_897989_1",406.96,412.806,367.661,404.497,334.742,438.723,289.787,302.275,293.524,347.703,342.354,363.717,303.287,374.175,378.488,265.09,363.99,239.6,344.401,286.293,389.87,351.727,323.738,390.884,322.918,357.822
"773","b0859_rlmC_898518_1","b0859_rlmC_898518_1",38.419,52.847,39.911,38.524,40.169,35.381,56.13,51.69,46.399,60.02,65.837,63.255,64.027,46.571,65.76,64.656,70.718,81.293,40.658,77.079,83.544,75.245,65.402,61.283,64.584,56.728
"774","b0860_artJ_900575_-1","b0860_artJ_900575_-1",9623.328,6723.55,9502.339,6854.925,9726.635,8103.403,9171.358,7259.092,6921.518,6202.778,6819.105,5851.104,6419.57,7395.181,5883.369,6034.041,6533.104,6135.464,6103.55,7324.337,6278.872,5883.118,6182.08,6433.028,6292.297,6129.524
"775","b0861_artM_901534_-1","b0861_artM_901534_-1",237.631,270.218,240.673,336.515,210.409,228.796,356.359,391.047,393.383,449.117,250.182,350.163,333.615,327.604,388.717,497.853,328.631,385.071,440.068,321.162,303.05,428.722,402.219,384.259,376.431,442.187
"776","b0862_artQ_902250_-1","b0862_artQ_902250_-1",1122.698,1109.79,1119.914,1097.921,1013.789,1041.378,1105.628,1055.153,1067.177,740.939,923.369,1030.156,1032.86,977.995,1060.935,887.407,836.137,894.22,949.494,796.483,917.341,978.186,936.877,823.176,1090.542,858.192
"777","b0863_artI_902988_-1","b0863_artI_902988_-1",1151.157,1243.403,1116.286,1292.805,1283.495,1519.02,1220.498,1228.202,1401.047,939.627,1264.077,1149.889,1118.791,1323.264,1186.611,1081.375,1212.607,996.906,1061.903,1113.975,1249.877,988.686,1152.702,1108.058,1081.316,1192.741
"778","b0864_artP_903734_-1","b0864_artP_903734_-1",187.828,219.365,171.736,235.673,147.286,189.877,150.115,213.503,216.865,198.688,195.866,239.466,237.575,179.861,222.124,187.503,205.914,145.471,313.309,132.135,304.688,218.736,235.446,198.755,228.811,222.548
"779","b0865_ybjP_904467_-1","b0865_ybjP_904467_-1",789.73,892.418,813.933,893.973,751.734,728.846,724.467,866.371,907.806,871.328,859.178,799.726,845.833,804.557,923.569,798.504,834.058,727.356,863.394,813,1012.351,890.692,866.57,844.708,889.41,955.647
"780","b0866_ybjQ_904593_1","b0866_ybjQ_904593_1",3826.28,3889.748,4398.626,3885.213,4256.001,4356.567,4473.419,4285.786,4036.711,4230.39,4062.166,3820.161,3807.934,3952.126,3663.588,3908.468,4143.248,4115.981,3927.127,3881.476,3718.508,3564.518,3835.8,3983.376,4044.784,3979.681
"781","b0867_amiD_904913_1","b0867_amiD_904913_1",237.631,180.478,195.925,167.691,133.897,129.73,131.84,158.441,174.501,283.544,139.904,180.729,197.136,146.137,160.748,193.969,151.836,136.914,196.117,148.652,176.916,178.488,207.65,165.629,234.347,178.911
"782","b0868_ybjS_906753_-1","b0868_ybjS_906753_-1",1218.035,1157.651,1291.651,1298.47,1442.258,1423.491,1130.429,952.896,902.763,1486.018,1481.341,1362.245,1282.229,1495.095,1147.155,1162.195,1254.206,1206.556,1329.77,1293.825,1202.372,1310.665,1303.126,1300.187,1396.853,1378.925
"783","b0869_ybjT_908282_-1","b0869_ybjT_908282_-1",39.842,22.934,37.492,35.124,28.692,24.767,31.328,33.711,20.173,28.975,36.211,31.628,28.644,36.936,24.843,42.027,39.519,55.621,35.875,38.539,22.934,45.497,9.81,49.689,49.822,32
"784","b0870_ltaE_909294_-1","b0870_ltaE_909294_-1",258.975,267.227,251.557,350.111,285.009,297.199,270.207,217.997,299.576,227.663,283.101,289.167,264.533,244.097,267.426,357.226,241.273,265.271,282.217,271.612,288.307,297.481,271.416,318.008,276.787,317.095
"785","b0871_poxB_911049_-1","b0871_poxB_911049_-1",1148.311,1148.677,1063.072,1347.191,1145.773,1240.69,1414.995,1254.047,1445.429,1334.932,1129.111,1359.986,1288.969,1273.481,1497.877,1519.421,1304.125,1373.42,1384.779,1457.159,1515.251,1403.409,1321.111,1422.753,1350.722,1394.925
"786","b0872_hcr_912150_-1","b0872_hcr_912150_-1",4997.357,5092.269,5662.461,5034.121,5835.981,5452.195,6546.308,5753.336,4955.613,6985.11,5591.238,6241.931,6360.597,6291.926,5268.144,6071.218,7053.09,7988.084,6579.493,6195.681,5302.559,5998.61,5997.321,6454.56,6737.002,6711.349
"787","b0873_hcp_913814_-1","b0873_hcp_913814_-1",4690.003,4220.79,4131.347,4041.573,4638.563,4294.061,4378.129,4401.527,3944.922,3890.965,4368.309,3183.091,3644.496,3902.343,3597.828,3514.065,3929.014,3089.125,3623.385,4184.287,3829.899,3910.996,3986.224,4019.815,3636.984,3566.586
"788","b0874_ybjE_914857_-1","b0874_ybjE_914857_-1",833.842,627.186,956.644,731.947,1071.173,648.65,943.765,900.082,706.071,786.472,867.407,621.256,711.039,716.233,585.999,741.93,823.658,667.456,719.894,858.88,730.597,684.206,721.052,698.954,614.468,657.462
"789","b0875_aqpZ_916047_-1","b0875_aqpZ_916047_-1",2815.994,2473.844,2782.854,2566.348,3154.223,2615.827,2579.363,2648.557,2225.134,2833.368,3731.333,2595.721,2898.073,2757.335,2219.781,2350.253,2866.163,2678.383,2453.857,2859.263,2542.345,2621.33,2486.893,2340.337,2409.894,2128.024
"790","b0876_ybjD_916473_1","b0876_ybjD_916473_1",3222.954,2871.693,3071.903,2354.469,2899.819,2606.392,2618.523,2808.122,2603.386,2431.853,3370.873,2220.709,2933.457,2890.624,2466.748,2755.971,2828.724,2430.226,2109.456,2851.922,2517.774,2631.829,2797.551,2593.749,2518.764,2677.849
"791","b0877_ybjX_919120_-1","b0877_ybjX_919120_-1",438.265,439.728,414.828,437.356,397.864,443.44,347.222,439.366,405.487,467.744,477.321,429.232,380.793,361.328,436.942,426.731,407.669,423.578,502.251,411.088,427.546,421.723,467.621,377.634,409.645,405.823
"792","b0878_macA_919235_1","b0878_macA_919235_1",2833.069,2349.204,2686.101,2053.078,2490.478,1963.639,2504.958,1894.555,1820.656,1864.766,1772.671,1908.951,1966.309,1919.053,1546.102,1490.326,1797.072,1758.491,1717.221,1974.69,1932.969,1790.134,1841.053,1830.2,1845.248,1768.747
"793","b0879_macB_920347_1","b0879_macB_920347_1",89.645,91.735,93.125,88.378,82.251,70.762,57.435,64.051,76.659,82.786,69.129,103.919,107.835,97.96,74.529,87.286,99.837,102.686,98.059,89.925,96.648,94.494,98.102,82.814,108.87,100.365
"794","b0880_cspD_922590_-1","b0880_cspD_922590_-1",6391.836,5344.539,6944.436,6299.733,8204.039,6451.115,6636.377,6252.258,5312.683,6620.85,6628.177,7683.245,7984.866,7260.285,7067.058,7078.239,7315.163,6691.678,6684.726,7056.396,6711.333,7370.521,6505.818,7615.619,7720.519,6539.711
"795","b0881_clpS_922913_1","b0881_clpS_922913_1",6847.176,7607.992,7381.033,6891.183,7572.812,7517.26,6718.614,6324.174,6108.527,10139.275,8065.077,7500.257,7339.539,6966.405,6391.917,5809.361,6462.386,6909.885,7787.287,7232.576,6483.636,6882.303,6473.117,6550.625,6755.454,6596.438
"796","b0882_clpA_923264_1","b0882_clpA_923264_1",3884.62,3720.238,3975.333,4182.071,4227.309,3671.357,4047.877,4474.567,3884.402,4853.358,5451.334,5130.447,5391.764,5116.405,4888.194,5246.852,5335.056,5540.744,4615.929,5727.701,4835.698,4934.679,4934.546,5376.316,5168.541,5070.603
"797","b0884_infA_926443_-1","b0884_infA_926443_-1",613.286,661.088,688.155,618.643,671.396,773.662,742.742,677.59,668.751,757.496,743.962,734.212,689.135,682.509,653.221,722.533,613.583,667.456,602.702,923.112,640.501,680.706,732.497,707.236,653.218,708.372
"798","b0885_aat_927432_-1","b0885_aat_927432_-1",594.788,580.321,690.573,591.45,717.304,576.708,924.185,743.888,659.672,604.341,788.402,596.406,640.272,732.292,660.527,698.287,709.261,581.885,729.46,787.307,615.929,768.2,781.548,727.111,608.932,672.008
"799","b0886_cydC_929195_-1","b0886_cydC_929195_-1",909.257,678.039,956.644,750.076,962.143,705.259,1191.781,929.299,833.164,964.463,1010.604,761.321,827.299,923.394,806.662,969.843,911.015,830.042,1042.769,1011.203,843.626,796.198,959.768,869.552,941.077,888.737
"800","b0887_cydD_930962_-1","b0887_cydD_930962_-1",422.613,400.84,442.644,460.016,372.998,454.055,400.741,382.057,353.036,285.613,342.354,390.827,288.122,321.18,442.787,302.268,295.352,213.928,334.834,308.316,380.041,388.475,312.292,288.194,402.264,344.731
"801","b0888_trxB_932050_-1","b0888_trxB_932050_-1",135.179,207.4,164.48,210.746,172.153,174.546,140.977,170.802,199.717,329.076,230.431,257.539,210.616,205.556,219.202,221.448,280.792,196.814,241.559,214.72,216.23,227.485,248.526,205.38,286.013,274.912
"802","b0889_lrp_932595_1","b0889_lrp_932595_1",2218.36,2253.481,2397.052,2526.691,2593.769,2572.191,2636.798,2284.479,2384.504,1941.343,2159.466,2243.3,2129.747,2331.77,2273.851,1970.398,2238.02,2010.926,2121.414,2180.234,2309.734,2098.114,2094.484,2169.739,1979.951,2039.296
"803","b0890_ftsK_933224_1","b0890_ftsK_933224_1",490.914,591.29,524.884,520.068,476.29,534.251,438.596,432.624,495.259,465.674,462.508,517.337,451.56,497.83,467.63,476.84,415.989,367.957,535.735,491.837,475.052,467.22,497.052,428.979,418.871,506.188
"804","b0891_lolA_937372_1","b0891_lolA_937372_1",734.236,733.877,597.449,844.119,539.412,680.492,768.849,695.569,838.208,498.789,590.89,743.248,650.382,655.208,802.278,651.411,576.144,551.935,817.952,570.751,889.493,650.958,712.877,592.952,642.146,635.644
"805","b0892_rarA_937994_1","b0892_rarA_937994_1",2847.298,2857.733,2533.715,2702.314,2193.992,2645.311,2587.195,2028.276,2904.98,2121.404,1802.298,2514.393,2316.774,2235.416,2833.545,2298.528,2196.421,3097.682,2367.756,1969.184,2294.991,2290.601,2135.36,2446.34,2614.717,2561.484
"806","b0893_serS_939428_1","b0893_serS_939428_1",757.003,840.568,892.545,981.217,1032.917,829.092,831.505,863,849.303,1467.391,1217.991,1045.97,1063.189,929.818,927.953,897.105,1039.972,889.942,1231.712,1139.668,1151.591,1069.18,1118.366,1098.12,1070.244,1098.194
"807","b0894_dmsA_940959_1","b0894_dmsA_940959_1",604.749,644.137,634.941,609.578,671.396,666.34,527.36,562.973,496.267,722.312,755.484,596.406,692.505,687.326,626.916,611.001,646.863,684.571,748.594,675.359,658.52,647.458,660.556,698.954,610.777,746.19
"808","b0895_dmsB_943414_1","b0895_dmsB_943414_1",564.906,410.812,613.171,406.763,541.325,411.598,647.451,569.715,559.814,432.559,376.919,417.936,463.355,423.958,397.485,591.604,470.067,492.035,430.501,491.837,401.337,489.968,456.176,498.543,579.408,472.733
"809","b0896_dmsC_944033_1","b0896_dmsC_944033_1",1957.962,1229.443,1945.942,1231.62,1931.937,1715.973,988.147,1118.08,958.24,1430.137,1879.657,2037.72,3019.388,2786.241,930.876,1533.969,1926.028,1874.012,1896.597,2655.554,1061.495,1175.924,1335.826,1288.593,2177.393,1585.473
"810","b0897_ycaC_945557_-1","b0897_ycaC_945557_-1",3537.423,3215.698,3451.658,3010.502,2957.203,3022.707,3859.907,3626.175,3596.93,2845.786,2817.839,2911.997,3228.319,3109.027,3024.981,2731.725,3149.035,3059.175,2551.915,2936.341,2863.415,2822.567,2812.266,3319.204,3114.779,3365.856
"811","b0898_ycaD_945871_1","b0898_ycaD_945871_1",83.953,85.752,106.428,88.378,68.861,71.941,57.435,82.03,76.659,66.229,44.44,76.81,82.561,69.054,78.913,101.834,74.878,89.85,83.709,84.42,83.544,101.493,76.847,69.564,73.81,81.455
"812","b0899_ycaM_947229_1","b0899_ycaM_947229_1",1842.704,1556.497,2039.066,1505.817,2146.172,1649.929,1775.27,1918.153,1483.759,1630.894,1815.465,1676.262,1794.447,1578.602,1405.813,1669.747,1874.029,1938.191,1843.98,1695.737,1525.08,1622.145,1643.214,1591.694,1638.581,1408.016
"813","b0900_ycaN_949568_-1","b0900_ycaN_949568_-1",1064.357,1259.357,1132.008,1326.796,1296.885,1357.447,1485.483,1508.003,1359.692,1312.166,1418.795,1091.152,1152.49,1157.856,1245.065,1375.561,1441.401,1411.927,1341.729,1343.376,1213.839,1305.415,1340.731,1270.374,1110.839,1245.105
"814","b0901_ycaK_949668_1","b0901_ycaK_949668_1",633.207,796.695,627.684,651.501,526.023,612.089,815.841,850.64,898.728,587.784,674.833,729.694,749.792,815.798,659.066,793.655,800.778,800.092,655.318,759.778,817.416,755.951,694.891,682.391,787.921,814.555
"815","b0902_pflA_951080_-1","b0902_pflA_951080_-1",212.018,203.412,253.976,222.077,275.445,229.976,292.397,246.09,236.03,266.986,251.828,187.506,237.575,205.556,223.586,218.215,226.714,222.485,241.559,242.248,212.954,222.236,230.54,226.912,263.871,240.003
"816","b0903_pflB_953554_-1","b0903_pflB_953554_-1",3898.849,4473.06,3542.364,4555.976,3156.135,4237.451,3879.487,4316.125,4632.837,3721.253,3551.926,4475.304,4205.576,4051.692,4262.739,4071.725,3989.332,5104.33,4252.395,3686.944,4537.562,4049.237,3847.245,4269.914,4367.703,4545.506
"817","b0904_focA_954466_-1","b0904_focA_954466_-1",125.219,171.504,134.245,194.884,131.984,152.138,144.893,198.895,186.605,138.667,197.512,182.988,116.26,109.201,287.885,193.969,180.955,209.65,186.55,150.488,232.611,230.985,212.555,178.879,204.823,193.457
"818","b0905_ycaO_956632_-1","b0905_ycaO_956632_-1",99.606,74.784,90.706,109.905,93.728,99.066,80.931,68.546,105.911,72.438,93.818,97.142,60.657,80.295,86.219,103.45,72.798,89.85,83.709,64.232,73.715,85.744,91.562,81.158,105.179,82.91
"819","b0906_ycaP_956762_1","b0906_ycaP_956762_1",5067.081,4713.365,4321.224,4740.662,4173.75,5005.216,4508.664,4609.411,4801.286,3692.277,3856.424,3942.153,3851.742,3560.286,4736.215,3526.996,3710.62,4201.552,3864.944,3929.192,4537.562,4157.73,4239.655,3927.062,4347.405,4213.866
"820","b0907_serC_957653_1","b0907_serC_957653_1",2040.493,1694.099,2357.141,1778.881,2362.32,1751.354,2046.782,2065.358,1575.548,2477.386,2834.299,2295.259,2596.472,2352.647,1946.51,2287.213,2473.053,2870.918,2288.831,2690.423,2070.57,2271.352,2455.828,2474.497,2428.347,2193.479
