"","genenames","transcript","01_no_PNA","02_PNA15_5nM","03_PNA15_0.5nM","07_no_PNA","08_PNA15_5nM","09_PNA15_0.5nM","13_no_PNA","14_PNA15_5nM","15_PNA15_0.5nM","74_PNA15_16nM","75_PNA15_63nM","76_PNA15_250nM","77_PNA15_1000nM","78_PNA14_1000nM","79_no_PNA","80_PNA15_16nM","81_PNA15_63nM","82_PNA15_250nM","83_PNA15_1000nM","84_PNA14_1000nM","85_no_PNA","86_PNA15_16nM","87_PNA15_63nM","88_PNA15_250nM","89_PNA15_1000nM","90_PNA14_1000nM"
"1856","b2022_hisB_2093468_1","b2022_hisB_2093468_1",8307.111,6514.156,9019.784,6230.617,8452.704,6913.426,9859.276,7426.523,6985.064,6577.387,8239.546,7317.269,8050.578,8922.394,7255.571,7362.726,8500.731,8274.748,7397.445,8513.555,7227.337,7461.515,7925.031,8418.92,7735.281,7386.266
"1857","b2023_hisH_2094535_1","b2023_hisH_2094535_1",1018.823,871.479,957.853,969.887,1111.342,982.409,1404.552,1357.428,1121.645,1245.937,1425.379,1197.33,1315.928,1222.092,1280.137,1199.373,1324.924,1322.077,1341.729,1387.421,1269.535,1081.43,1327.651,1288.593,1216.019,1349.833
"1858","b2024_hisA_2095125_1","b2024_hisA_2095125_1",812.497,861.508,744.997,760.274,692.437,839.706,770.154,691.075,715.15,573.296,632.039,720.657,662.176,684.114,695.6,585.139,707.181,714.521,669.668,625.808,750.254,631.709,609.869,594.608,658.754,747.645
"1859","b2025_hisF_2095844_1","b2025_hisF_2095844_1",1114.16,1179.588,1301.326,1137.578,1231.849,1257.201,1314.483,1337.201,1171.07,2019.99,1568.575,1710.149,1647.858,1385.894,1446.73,1760.265,1732.593,1471.827,1322.595,1303.002,1241.687,1534.65,1440.469,1510.536,1653.342,1426.925
"1860","b2026_hisI_2096614_1","b2026_hisI_2096614_1",384.193,370.927,493.44,412.429,487.766,399.804,415.1,395.542,377.244,416.002,460.862,420.195,434.711,467.318,372.643,434.813,407.669,389.35,389.843,515.695,411.165,411.223,397.314,445.542,431.788,456.732
"1861","b2027_wzzB_2098301_-1","b2027_wzzB_2098301_-1",583.404,745.842,605.915,704.754,512.633,517.74,494.726,527.015,578.979,515.346,488.842,646.106,552.656,504.253,546.543,575.44,472.147,474.921,526.168,521.201,651.967,661.457,487.241,544.919,529.586,593.461
"1862","b2028_ugd_2099613_-1","b2028_ugd_2099613_-1",2848.721,3122.966,3167.446,3276.768,3349.329,3903.691,3153.715,2818.236,2970.543,3400.455,3509.132,3429.334,3150.812,3523.35,3207.649,3132.593,3756.379,3166.139,3283.767,3582.337,3476.067,3191.793,3113.113,3824.372,3459.841,3632.041
"1863","b2029_gnd_2101268_-1","b2029_gnd_2101268_-1",1703.256,1585.414,1396.869,1543.208,1294.972,1327.963,1305.346,1273.15,1448.455,1216.961,1083.025,1328.359,1226.626,1254.21,1307.903,1466.08,1200.128,1441.877,1332.162,1264.462,1528.356,1303.665,1206.658,1404.533,1365.484,1422.562
"1864","b2032_wbbK_2104509_-1","b2032_wbbK_2104509_-1",342.928,426.765,314.447,480.411,321.352,455.234,313.283,418.016,392.374,322.867,344,404.381,360.574,332.422,388.717,297.419,359.83,359.4,392.234,282.623,398.06,330.728,322.103,284.882,335.835,347.64
"1865","b2033_wbbJ_2105084_-1","b2033_wbbJ_2105084_-1",1190.999,1356.077,1140.474,1326.796,1149.598,1261.918,1254.437,1533.848,1559.409,1543.968,1538.948,1486.497,1526.543,1461.371,1576.79,1436.984,1645.236,1429.041,1480.446,1440.643,1366.183,1560.899,1600.703,1371.408,1287.983,1429.834
